DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 4:00,AAPL,116.01,116.24,115.9,116,9720
2017-01-03 5:00,AAPL,115.91,116.14,115.91,116.03,4296
2017-01-03 6:00,AAPL,116.16,116.28,115.91,116.07,3959
2017-01-03 7:00,AAPL,116.1,116.38,116.02,116.16,15271
2017-01-03 8:00,AAPL,116.2,116.4,115.82,116.08,91506
2017-01-03 9:00,AAPL,115.67,116.33,114.76,116.16,6865877
2017-01-03 10:00,AAPL,115.45,115.83,115.27,115.66,4309288
2017-01-03 11:00,AAPL,115.3757,115.8,115.13,115.45,3183093
2017-01-03 12:00,AAPL,115.465,115.53,115.26,115.39,1865577
2017-01-03 13:00,AAPL,115.23,115.52,115.23,115.47,1702431
2017-01-03 14:00,AAPL,115.4399,116.3,115.15,115.2314,2296172
2017-01-03 15:00,AAPL,116.14,116.78,115.39,115.44,5669349
2017-01-03 16:00,AAPL,116.07,116.25,115.4236,116.14,5683223
2017-01-03 17:00,AAPL,116.07,116.1616,115.97,116.08,149867
2017-01-03 18:00,AAPL,116.02,116.15,116.02,116.02,15992
2017-01-03 19:00,AAPL,116.06,116.07,116.02,116.02,2242
2017-01-04 4:00,AAPL,116.27,116.37,115.96,116.37,934
2017-01-04 5:00,AAPL,116.15,116.17,116.15,116.17,423
2017-01-04 6:00,AAPL,116.15,116.3,116.01,116.15,4144
2017-01-04 7:00,AAPL,115.8,116.3,115.8,116.15,30404
2017-01-04 8:00,AAPL,115.93,116.65,115.75,115.9,37396
2017-01-04 9:00,AAPL,116.27,116.51,115.69,115.82,4178776
2017-01-04 10:00,AAPL,115.955,116.45,115.87,116.2791,3379972
2017-01-04 11:00,AAPL,116.37,116.38,115.9,115.96,2385129
2017-01-04 12:00,AAPL,116.1373,116.38,116.04,116.37,1539482
2017-01-04 13:00,AAPL,116.21,116.3135,115.9546,116.1068,1463788
2017-01-04 14:00,AAPL,116.0622,116.3,115.98,116.21,2288701
2017-01-04 15:00,AAPL,116.02,116.14,115.8947,116.0601,3739077
2017-01-04 16:00,AAPL,116.03,116.1361,115.94,116.02,4132061
2017-01-04 17:00,AAPL,116.03,117.09,116.0061,116.01,39761
2017-01-04 18:00,AAPL,116.03,116.03,116,116,31447
2017-01-04 19:00,AAPL,116,116.01,115.97,116,3833
2017-01-05 4:00,AAPL,115.96,115.96,115.87,115.89,163
2017-01-05 5:00,AAPL,116.14,116.14,116.14,116.14,54
2017-01-05 6:00,AAPL,116,116,115.87,115.95,102
2017-01-05 7:00,AAPL,115.77,115.95,115.77,115.95,3954
2017-01-05 8:00,AAPL,116.08,116.08,115.75,115.99,25884
2017-01-05 9:00,AAPL,116.67,116.8642,115.8,116.03,4497475
2017-01-05 10:00,AAPL,116.33,116.8,116.08,116.68,3859446
2017-01-05 11:00,AAPL,116.2901,116.4761,115.94,116.32,2945724
2017-01-05 12:00,AAPL,116.695,116.82,116.21,116.29,3281258
2017-01-05 13:00,AAPL,116.4899,116.7407,116.34,116.69,1583896
2017-01-05 14:00,AAPL,116.315,116.62,116.3,116.486,1462856
2017-01-05 15:00,AAPL,116.61,116.76,116.29,116.32,3528286
2017-01-05 16:00,AAPL,116.66,116.72,115.9232,116.61,2296494
2017-01-05 17:00,AAPL,116.69,116.69,116.61,116.67,44071
2017-01-05 18:00,AAPL,116.67,116.72,116.61,116.7,41823
2017-01-05 19:00,AAPL,116.64,116.72,116.64,116.67,2045
2017-01-06 4:00,AAPL,116.7,116.7,116.7,116.7,102
2017-01-06 5:00,AAPL,116.6,116.81,116.6,116.6,123
2017-01-06 6:00,AAPL,116.79,116.79,116.57,116.57,273
2017-01-06 7:00,AAPL,116.7,116.82,116.61,116.61,2707
2017-01-06 8:00,AAPL,116.55,116.87,116,116.73,90637
2017-01-06 9:00,AAPL,117.68,117.7,116.47,116.57,7330488
2017-01-06 10:00,AAPL,117.62,117.79,116.78,117.68,4823784
2017-01-06 11:00,AAPL,117.935,117.97,117.5,117.62,3130881
2017-01-06 12:00,AAPL,117.9001,118.16,117.81,117.935,4069992
2017-01-06 13:00,AAPL,117.83,117.97,117.5,117.9079,2209197
2017-01-06 14:00,AAPL,117.9663,118.16,117.8349,117.8373,3443457
2017-01-06 15:00,AAPL,117.91,118.09,117.81,117.9663,4441359
2017-01-06 16:00,AAPL,117.96,118.0976,116.7566,117.91,4372853
2017-01-06 17:00,AAPL,117.94,117.96,117.85,117.96,20581
2017-01-06 18:00,AAPL,117.88,117.95,117.88,117.94,6105
2017-01-06 19:00,AAPL,117.79,117.89,117.79,117.89,14716
2017-01-09 4:00,AAPL,117.99,118.09,117.72,118,1633
2017-01-09 5:00,AAPL,117.76,117.89,117.7,117.8,3620
2017-01-09 6:00,AAPL,117.75,117.76,117.49,117.75,5977
2017-01-09 7:00,AAPL,118.1,118.18,117.7,117.7,25791
2017-01-09 8:00,AAPL,118.11,118.27,118.01,118.04,93693
2017-01-09 9:00,AAPL,119.05,119.3,117.89,118.11,8962127
2017-01-09 10:00,AAPL,119.1527,119.29,118.77,119.05,5114316
2017-01-09 11:00,AAPL,118.96,119.43,118.9101,119.15,3734883
2017-01-09 12:00,AAPL,119.18,119.2,118.84,118.97,2716644
2017-01-09 13:00,AAPL,119.06,119.22,119,119.18,1881265
2017-01-09 14:00,AAPL,119.0765,119.09,118.72,119.05,2752908
2017-01-09 15:00,AAPL,119,119.38,118.97,119.07,4756245
2017-01-09 16:00,AAPL,119,119.1,117.9636,119,8369607
2017-01-09 17:00,AAPL,119.01,119.01,118.8,119,113119
2017-01-09 18:00,AAPL,119.02,119.05,118.87,118.99,30129
2017-01-09 19:00,AAPL,118.91,119.02,118.91,119,4253
2017-01-10 4:00,AAPL,119,119,118.91,119,185
2017-01-10 5:00,AAPL,119.2,119.2,119,119,267
2017-01-10 6:00,AAPL,119,119.17,119,119.03,836
2017-01-10 7:00,AAPL,119.12,119.17,118.98,119,5283
2017-01-10 8:00,AAPL,118.95,119.15,118.7,119.04,49654
2017-01-10 9:00,AAPL,118.78,118.97,115.66,118.9,4886868
2017-01-10 10:00,AAPL,118.74,118.9529,118.03,118.78,3944623
2017-01-10 11:00,AAPL,119.15,119.38,118.74,118.74,3483945
2017-01-10 12:00,AAPL,119.124,119.32,119.08,119.1457,1724531
2017-01-10 13:00,AAPL,118.84,119.2091,118.8,119.1265,2161635
2017-01-10 14:00,AAPL,119.08,119.19,116.75,118.8301,2171073
2017-01-10 15:00,AAPL,119.11,119.22,118.92,119.08,3213060
2017-01-10 16:00,AAPL,119.08,119.2302,118.9692,119.11,5075308
2017-01-10 17:00,AAPL,119.07,119.11,119.05,119.08,3988
2017-01-10 18:00,AAPL,119.06,119.11,119.05,119.11,21243
2017-01-10 19:00,AAPL,119.18,119.18,119.01,119.05,6343
2017-01-11 4:00,AAPL,119.09,119.11,118.75,119.11,621
2017-01-11 5:00,AAPL,118.75,118.75,118.75,118.75,16
2017-01-11 6:00,AAPL,118.95,118.95,118.78,118.78,1249
2017-01-11 7:00,AAPL,118.75,118.89,118.75,118.85,17834
2017-01-11 8:00,AAPL,118.82,118.98,118.75,118.84,32338
2017-01-11 9:00,AAPL,119.155,119.36,118.6,118.84,4310125
2017-01-11 10:00,AAPL,118.97,119.16,118.83,119.1574,2742846
2017-01-11 11:00,AAPL,119.055,119.15,118.61,118.97,3168036
2017-01-11 12:00,AAPL,118.96,119.09,117.6,119.06,2449034
2017-01-11 13:00,AAPL,118.926,119,118.6,118.95,2491759
2017-01-11 14:00,AAPL,119.8241,119.84,118.8499,118.93,4832581
2017-01-11 15:00,AAPL,119.73,119.93,119.298,119.822,5266773
2017-01-11 16:00,AAPL,119.75,119.8,118.6763,119.73,4324166
2017-01-11 17:00,AAPL,119.77,119.79,119.74,119.78,102764
2017-01-11 18:00,AAPL,119.7,119.76,119.7,119.75,22196
2017-01-11 19:00,AAPL,119.75,119.75,119.7,119.7,14107
2017-01-12 4:00,AAPL,119.35,119.6,119.3,119.6,5370
2017-01-12 5:00,AAPL,119.1,119.45,119.09,119.26,11527
2017-01-12 6:00,AAPL,118.9,119.38,118.85,119.08,35487
2017-01-12 7:00,AAPL,118.79,119.14,118.76,118.99,73420
2017-01-12 8:00,AAPL,119.08,119.75,118.77,118.85,162750
2017-01-12 9:00,AAPL,118.8335,119.75,118.64,119.09,6086641
