DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 08:00:00,CRM,68.46,69.01,68.46,68.65,5658
2017-01-03 09:00:00,CRM,70.39,70.609,68.86,68.89,1459980
2017-01-03 10:00:00,CRM,70.34,70.86,70.15,70.3705,1072471
2017-01-03 11:00:00,CRM,70.14,70.47,69.89,70.346,707628
2017-01-03 12:00:00,CRM,70.1,70.2699,69.97,70.15,478447
2017-01-03 13:00:00,CRM,70.24,70.66,70.07,70.11,665378
2017-01-03 14:00:00,CRM,70.31,70.4,69.91,70.24,823978
2017-01-03 15:00:00,CRM,70.56,70.66,70.22,70.3,2165921
2017-01-03 16:00:00,CRM,70.54,70.62,69.25,70.56,1464637
2017-01-03 18:00:00,CRM,70.55,70.55,70.54,70.55,953
2017-01-04 08:00:00,CRM,70.85,70.85,70.85,70.85,100
2017-01-04 09:00:00,CRM,71.65,71.77,70.76,70.8,1385910
2017-01-04 10:00:00,CRM,71.855,72.1775,71.6,71.645,1238354
2017-01-04 11:00:00,CRM,71.86,71.98,71.45,71.87,677060
2017-01-04 12:00:00,CRM,72.48,72.58,71.6,71.86,1218107
2017-01-04 13:00:00,CRM,72.73,72.87,72.0,72.49,1001424
2017-01-04 14:00:00,CRM,72.82,72.94,72.6,72.739,1051346
2017-01-04 15:00:00,CRM,72.84,73.065,72.69,72.825,2294473
2017-01-04 16:00:00,CRM,72.8,72.93,72.3343,72.86,815160
2017-01-04 17:00:00,CRM,72.5,73.0,72.5,72.8,301
2017-01-04 18:00:00,CRM,72.9,72.9,72.9,72.9,30
2017-01-04 19:00:00,CRM,73.0,73.0,72.8,72.87,2026
2017-01-05 08:00:00,CRM,72.98,73.0,72.82,73.0,1060
2017-01-05 09:00:00,CRM,73.42,73.46,72.53,72.98,496868
2017-01-05 10:00:00,CRM,73.42,73.66,73.22,73.46,729963
2017-01-05 11:00:00,CRM,73.28,73.45,73.115,73.4,680800
2017-01-05 12:00:00,CRM,72.97,73.39,72.95,73.28,512837
2017-01-05 13:00:00,CRM,72.82,73.06,72.8,72.97,293391
2017-01-05 14:00:00,CRM,72.99,73.085,72.8,72.82,610842
2017-01-05 15:00:00,CRM,72.79,73.175,72.79,72.99,1000340
