DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 04:00:00,DIA,198.6,198.6,198.03,198.06,2462
2017-01-03 05:00:00,DIA,198.65,198.65,198.65,198.65,50
2017-01-03 06:00:00,DIA,198.84,198.88,198.67,198.67,690
2017-01-03 07:00:00,DIA,198.9,199.09,198.8,198.97,6706
2017-01-03 08:00:00,DIA,198.72,199.03,198.65,199.03,5917
2017-01-03 09:00:00,DIA,198.66,199.1,197.356,198.7,1392212
2017-01-03 10:00:00,DIA,198.12,199.09,197.356,198.66,1647890
2017-01-03 11:00:00,DIA,197.85,198.17,197.356,198.11,981487
2017-01-03 12:00:00,DIA,197.68,197.9,197.356,197.86,974505
2017-01-03 13:00:00,DIA,197.59,197.7928,197.52,197.68,324006
2017-01-03 14:00:00,DIA,197.82,197.855,197.59,197.6,213992
2017-01-03 15:00:00,DIA,198.5,198.5,197.78,197.84,1047197
2017-01-03 16:00:00,DIA,198.47,198.55,198.39,198.5,237920
2017-01-03 17:00:00,DIA,198.42,198.54,198.42,198.47,235
2017-01-03 18:00:00,DIA,198.37,198.47,198.37,198.47,59251
2017-01-03 19:00:00,DIA,198.45,198.45,198.45,198.45,700
2017-01-03 20:00:00,DIA,198.42,198.42,198.42,198.42,57886
2017-01-04 05:00:00,DIA,198.62,198.62,198.58,198.58,55
2017-01-04 07:00:00,DIA,198.69,198.69,198.67,198.67,450
2017-01-04 08:00:00,DIA,198.8,198.84,198.75,198.79,2222
2017-01-04 09:00:00,DIA,198.93,199.27,198.42,198.42,784646
2017-01-04 10:00:00,DIA,198.86,199.029,198.5937,198.98,643339
2017-01-04 11:00:00,DIA,199.03,199.105,198.84,198.86,528208
2017-01-04 12:00:00,DIA,199.12,199.1665,199.02,199.04,622907
2017-01-04 13:00:00,DIA,199.03,199.13,199.02,199.115,349317
2017-01-04 14:00:00,DIA,199.18,199.31,199.0095,199.03,638857
2017-01-04 15:00:00,DIA,199.2,199.36,199.0775,199.18,1163192
2017-01-04 16:00:00,DIA,199.1,199.22,199.03,199.2,281230
2017-01-04 17:00:00,DIA,199.15,199.15,199.15,199.15,2
2017-01-04 18:00:00,DIA,199.2,199.2,199.15,199.15,86136
2017-01-04 19:00:00,DIA,199.15,199.15,199.09,199.15,700
2017-01-04 20:00:00,DIA,199.15,199.15,199.15,199.15,85536
2017-01-05 06:00:00,DIA,199.26,199.26,199.26,199.26,4
2017-01-05 08:00:00,DIA,198.98,199.15,198.85,198.85,5527
2017-01-05 09:00:00,DIA,199.19,199.27,198.79,198.79,715317
2017-01-05 10:00:00,DIA,198.98,199.235,198.85,199.2,599473
2017-01-05 11:00:00,DIA,198.14,198.98,197.895,198.97,724263
2017-01-05 12:00:00,DIA,198.4,199.2178,198.03,198.15,773182
2017-01-05 13:00:00,DIA,198.45,198.58,198.37,198.4,319933
2017-01-05 14:00:00,DIA,198.55,198.74,198.44,198.44,324784
2017-01-05 15:00:00,DIA,198.77,198.85,198.525,198.54,620884
2017-01-05 16:00:00,DIA,198.79,198.88,198.73,198.75,122941
2017-01-05 17:00:00,DIA,198.8,198.94,198.8,198.9,2266
2017-01-05 18:00:00,DIA,198.8,198.8,198.75,198.8,35452
2017-01-05 20:00:00,DIA,198.75,198.75,198.75,198.75,34918
2017-01-06 07:00:00,DIA,198.56,198.75,198.55,198.75,3241
2017-01-06 08:00:00,DIA,198.93,198.94,198.51,198.68,12015
2017-01-06 09:00:00,DIA,198.62,198.93,198.17,198.85,476909
2017-01-06 10:00:00,DIA,198.91,199.01,198.55,198.6199,508961
2017-01-06 11:00:00,DIA,199.45,199.61,198.88,198.92,524068
2017-01-06 12:00:00,DIA,199.75,199.83,199.38,199.44,683261
2017-01-06 13:00:00,DIA,199.66,199.8,199.5237,199.75,505157
2017-01-06 14:00:00,DIA,199.6,199.8,199.55,199.67,447728
2017-01-06 15:00:00,DIA,199.48,199.78,199.46,199.6,797325
