DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 04:00:00,FB,116.3,116.39,115.98,115.98,2489
2017-01-03 05:00:00,FB,116.2,116.4,116.15,116.3,2380
2017-01-03 06:00:00,FB,116.44,116.45,116.01,116.2,4878
2017-01-03 07:00:00,FB,116.15,116.52,116.15,116.44,27365
2017-01-03 08:00:00,FB,116.07,116.45,115.05,116.13,72803
2017-01-03 09:00:00,FB,116.8702,116.9,115.05,116.1,4150306
2017-01-03 10:00:00,FB,117.273,117.84,116.8269,116.85,4951750
2017-01-03 11:00:00,FB,116.779,117.52,115.96,117.27,2905282
2017-01-03 12:00:00,FB,116.86,116.92,116.38,116.78,2252273
2017-01-03 13:00:00,FB,116.5,117.03,116.41,116.86,1286842
2017-01-03 14:00:00,FB,116.6,116.85,116.4904,116.499,1405944
2017-01-03 15:00:00,FB,116.86,116.87,116.18,116.606,2969688
2017-01-03 16:00:00,FB,116.85,117.2715,116.565,116.81,1722517
2017-01-03 17:00:00,FB,116.84,116.9,116.5861,116.85,25412
2017-01-03 18:00:00,FB,116.76,116.86,116.76,116.8,19968
2017-01-03 19:00:00,FB,116.7,116.75,116.66,116.75,7707
2017-01-04 04:00:00,FB,117.13,117.47,117.07,117.47,713
2017-01-04 05:00:00,FB,117.14,117.14,117.01,117.13,466
2017-01-04 06:00:00,FB,117.13,117.13,117.13,117.13,37
2017-01-04 07:00:00,FB,116.95,117.13,116.86,117.02,8578
2017-01-04 08:00:00,FB,117.22,117.22,116.86,116.99,27674
2017-01-04 09:00:00,FB,117.45,117.95,117.1,117.21,2784707
2017-01-04 10:00:00,FB,118.02,118.08,117.42,117.46,2746818
2017-01-04 11:00:00,FB,118.19,118.2,117.74,118.02,1696726
2017-01-04 12:00:00,FB,118.12,118.245,117.95,118.2,1261149
2017-01-04 13:00:00,FB,119.5492,119.59,117.8571,118.115,3926357
2017-01-04 14:00:00,FB,119.06,119.66,118.81,119.5426,3093266
2017-01-04 15:00:00,FB,118.7,119.19,118.3,119.045,3291346
2017-01-04 16:00:00,FB,118.65,119.26,117.912,119.26,1698685
2017-01-04 17:00:00,FB,118.75,118.84,118.584,118.75,6092
2017-01-04 18:00:00,FB,118.67,118.75,118.63,118.69,24358
2017-01-04 19:00:00,FB,118.61,118.69,118.61,118.67,6487
2017-01-05 04:00:00,FB,118.43,118.56,118.43,118.44,400
2017-01-05 05:00:00,FB,118.85,118.85,118.85,118.85,30
2017-01-05 06:00:00,FB,118.6,118.6,118.6,118.6,19
2017-01-05 07:00:00,FB,118.2,118.73,118.2,118.6,6794
2017-01-05 08:00:00,FB,118.5,118.95,118.27,118.47,30377
2017-01-05 09:00:00,FB,119.21,119.49,118.3209,118.5,2426025
2017-01-05 10:00:00,FB,119.67,119.79,118.75,119.2,3411968
2017-01-05 11:00:00,FB,119.6,119.75,119.1,119.667,1890955
2017-01-05 12:00:00,FB,119.823,119.85,119.35,119.59,1290796
2017-01-05 13:00:00,FB,119.87,120.09,119.7337,119.8299,2402579
2017-01-05 14:00:00,FB,120.1999,120.26,119.72,119.86,1984368
2017-01-05 15:00:00,FB,120.69,120.95,120.0519,120.19,5240448
2017-01-05 16:00:00,FB,120.72,120.8,119.4043,120.67,1541998
2017-01-05 17:00:00,FB,120.88,120.9,120.67,120.71,19369
2017-01-05 18:00:00,FB,120.89,120.9,120.67,120.83,21094
2017-01-05 19:00:00,FB,120.8,120.89,120.75,120.82,5686
2017-01-06 04:00:00,FB,120.5,120.83,120.3,120.3,91
2017-01-06 05:00:00,FB,120.87,120.87,120.1,120.5,213
2017-01-06 06:00:00,FB,120.34,120.8,120.34,120.67,942
2017-01-06 07:00:00,FB,120.7,121.0,120.68,120.72,6449
2017-01-06 08:00:00,FB,120.76,120.95,120.53,120.7,31939
2017-01-06 09:00:00,FB,121.83,121.89,120.03,120.75,4405704
2017-01-06 10:00:00,FB,122.8787,123.0,120.95,121.85,5991327
2017-01-06 11:00:00,FB,123.2539,123.3,122.81,122.8879,3973602
2017-01-06 12:00:00,FB,123.4801,123.69,123.17,123.25,3372694
2017-01-06 13:00:00,FB,123.3335,123.54,123.0,123.4835,2767489
2017-01-06 14:00:00,FB,123.7552,123.835,122.69,123.33,2762478
2017-01-06 15:00:00,FB,123.43,123.88,123.4,123.7537,4350787
2017-01-06 16:00:00,FB,123.39,123.49,120.9742,123.43,2063978
2017-01-06 17:00:00,FB,123.41,123.45,123.37,123.39,19735
