DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 09:00:00,FXB,119.53,119.76,119.51,119.76,9946
2017-01-03 10:00:00,FXB,119.38,119.53,119.0,119.45,88859
2017-01-03 11:00:00,FXB,119.5544,119.72,119.38,119.42,3540
2017-01-03 12:00:00,FXB,119.616,119.66,119.52,119.59,1416
2017-01-03 13:00:00,FXB,119.4,119.6219,119.4,119.61,9936
2017-01-03 14:00:00,FXB,119.37,119.44,119.33,119.41,1463
2017-01-03 15:00:00,FXB,119.34,119.45,119.31,119.36,9444
2017-01-03 16:00:00,FXB,119.33,119.38,119.31,119.38,1241
2017-01-03 18:00:00,FXB,119.33,119.33,119.33,119.33,600
2017-01-03 20:00:00,FXB,119.33,119.33,119.33,119.33,600
2017-01-04 09:00:00,FXB,119.8545,119.91,119.81,119.86,2840
2017-01-04 10:00:00,FXB,119.9389,119.9389,119.725,119.84,7478
2017-01-04 11:00:00,FXB,119.94,120.027,119.91,119.9826,4072
2017-01-04 12:00:00,FXB,120.17,120.282,119.9848,119.9848,3062
2017-01-04 13:00:00,FXB,120.16,120.24,120.1201,120.17,2141
2017-01-04 14:00:00,FXB,120.0748,120.45,120.069,120.24,2902
2017-01-04 15:00:00,FXB,120.27,120.27,120.04,120.14,2663
2017-01-04 16:00:00,FXB,120.24,120.26,120.24,120.26,301
2017-01-04 18:00:00,FXB,120.24,120.24,120.24,120.24,100
2017-01-04 20:00:00,FXB,120.24,120.24,120.24,120.24,100
2017-01-05 09:00:00,FXB,120.2633,120.2633,120.14,120.25,3311
2017-01-05 10:00:00,FXB,121.24,121.25,120.2492,120.2492,25359
2017-01-05 11:00:00,FXB,121.05,121.267,121.05,121.18,10884
2017-01-05 12:00:00,FXB,121.0909,121.1575,121.0001,121.09,5927
2017-01-05 13:00:00,FXB,121.26,121.26,121.1521,121.17,21311
2017-01-05 14:00:00,FXB,121.0601,121.235,121.0601,121.235,17635
2017-01-05 15:00:00,FXB,121.15,121.179,121.07,121.08,41602
2017-01-05 16:00:00,FXB,121.01,121.14,121.0,121.14,543
2017-01-05 18:00:00,FXB,121.14,121.14,121.14,121.14,100
2017-01-05 20:00:00,FXB,121.14,121.14,121.14,121.14,100
2017-01-06 09:00:00,FXB,120.3,120.35,120.17,120.28,8579
2017-01-06 10:00:00,FXB,120.155,120.27,120.04,120.25,6073
2017-01-06 11:00:00,FXB,120.06,120.278,120.06,120.24,4679
2017-01-06 12:00:00,FXB,120.02,120.16,119.895,120.1548,5155
2017-01-06 13:00:00,FXB,119.67,120.0087,119.66,120.0087,6257
2017-01-06 14:00:00,FXB,119.74,119.74,119.64,119.66,35913
2017-01-06 15:00:00,FXB,119.85,119.92,119.7252,119.78,16441
2017-01-06 16:00:00,FXB,119.85,119.86,119.85,119.86,592
2017-01-06 18:00:00,FXB,119.85,119.85,119.85,119.85,181
2017-01-06 20:00:00,FXB,119.85,119.85,119.85,119.85,181
2017-01-09 06:00:00,FXB,118.9,118.9,118.9,118.9,400
2017-01-09 07:00:00,FXB,118.76,118.76,118.76,118.76,100
2017-01-09 08:00:00,FXB,118.48,118.71,118.35,118.56,3058
2017-01-09 09:00:00,FXB,118.425,118.6162,118.35,118.56,49106
2017-01-09 10:00:00,FXB,118.48,118.7996,118.44,118.44,8986
2017-01-09 11:00:00,FXB,118.71,118.825,118.54,118.54,26272
2017-01-09 12:00:00,FXB,118.76,118.78,118.6099,118.6975,7118
2017-01-09 13:00:00,FXB,118.678,118.7543,118.64,118.7543,3042
2017-01-09 14:00:00,FXB,118.68,118.7,118.6392,118.66,3639
2017-01-09 15:00:00,FXB,118.68,118.69,118.6,118.67,26521
2017-01-09 16:00:00,FXB,118.65,118.68,118.65,118.66,985
2017-01-09 18:00:00,FXB,118.68,118.68,118.68,118.68,320
2017-01-09 20:00:00,FXB,118.68,118.68,118.68,118.68,320
2017-01-10 09:00:00,FXB,118.7,118.8053,118.6664,118.7,7268
2017-01-10 10:00:00,FXB,118.845,118.87,118.57,118.68,5453
2017-01-10 11:00:00,FXB,118.71,118.93,118.7038,118.84,25575
2017-01-10 12:00:00,FXB,118.66,118.73,118.57,118.73,22164
2017-01-10 13:00:00,FXB,118.69,118.7271,118.5899,118.65,2856
2017-01-10 14:00:00,FXB,118.6725,118.69,118.62,118.6899,8504
2017-01-10 15:00:00,FXB,118.7426,118.76,118.6648,118.69,2727
2017-01-10 16:00:00,FXB,118.75,118.75,118.75,118.75,919
2017-01-10 18:00:00,FXB,118.75,118.75,118.75,118.75,250
2017-01-10 20:00:00,FXB,118.75,118.75,118.75,118.75,250
2017-01-11 07:00:00,FXB,118.24,118.24,118.24,118.24,100
2017-01-11 08:00:00,FXB,118.1,118.4,118.1,118.4,170
2017-01-11 09:00:00,FXB,118.08,118.33,118.07,118.2,27328
2017-01-11 10:00:00,FXB,117.74,118.2,117.48,118.0993,68702
2017-01-11 11:00:00,FXB,118.2,118.58,117.6867,117.73,47715
2017-01-11 12:00:00,FXB,118.68,118.77,118.03,118.18,19667
2017-01-11 13:00:00,FXB,119.2411,119.6553,118.6431,118.6431,105340
2017-01-11 14:00:00,FXB,119.1075,119.52,119.06,119.4,20772
2017-01-11 15:00:00,FXB,119.05,119.14,118.9529,119.14,31043
2017-01-11 16:00:00,FXB,119.06,119.09,119.04,119.04,1488
2017-01-11 18:00:00,FXB,119.05,119.05,119.05,119.05,223
2017-01-11 20:00:00,FXB,119.05,119.05,119.05,119.05,223
2017-01-12 07:00:00,FXB,120.13,120.13,119.8,119.85,615
2017-01-12 08:00:00,FXB,119.7,119.86,119.7,119.86,470
2017-01-12 09:00:00,FXB,119.79,119.79,119.6198,119.62,13178
2017-01-12 10:00:00,FXB,119.1,119.8911,119.08,119.85,22223
2017-01-12 11:00:00,FXB,119.14,119.3462,119.05,119.21,8497
2017-01-12 12:00:00,FXB,118.88,119.14,118.88,119.14,2525
2017-01-12 13:00:00,FXB,118.755,118.95,118.655,118.95,6310
2017-01-12 14:00:00,FXB,118.63,118.78,118.57,118.77,19082
2017-01-12 15:00:00,FXB,118.79,118.79,118.595,118.67,6330
2017-01-12 16:00:00,FXB,118.77,118.79,118.77,118.79,709
2017-01-12 18:00:00,FXB,118.77,118.77,118.77,118.77,349
2017-01-12 20:00:00,FXB,118.77,118.77,118.77,118.77,349
2017-01-13 08:00:00,FXB,118.6,118.6,118.6,118.6,1
2017-01-13 09:00:00,FXB,118.39,118.66,118.35,118.66,8639
2017-01-13 10:00:00,FXB,118.801,118.801,118.29,118.29,3333
2017-01-13 11:00:00,FXB,119.025,119.15,118.795,118.795,3335
2017-01-13 12:00:00,FXB,119.0999,119.11,118.97,119.01,2203
2017-01-13 13:00:00,FXB,118.94,119.12,118.9,119.07,6994
2017-01-13 14:00:00,FXB,118.91,118.97,118.88,118.9399,2336
2017-01-13 15:00:00,FXB,118.92,118.93,118.8599,118.9073,1865
2017-01-13 16:00:00,FXB,118.92,118.92,118.89,118.89,374
2017-01-13 18:00:00,FXB,118.92,118.92,118.92,118.92,174
2017-01-13 20:00:00,FXB,118.92,118.92,118.92,118.92,174
2017-01-17 07:00:00,FXB,120.28,120.43,119.64,119.64,1642
2017-01-17 08:00:00,FXB,120.0,120.34,120.0,120.3,1162
2017-01-17 09:00:00,FXB,120.8599,120.9164,120.2,120.2,55479
2017-01-17 10:00:00,FXB,120.9,120.9,120.56,120.89,20315
2017-01-17 11:00:00,FXB,120.805,120.92,120.6801,120.83,18182
2017-01-17 12:00:00,FXB,120.78,120.91,120.67,120.86,32143
2017-01-17 13:00:00,FXB,120.88,120.9,120.75,120.815,15048
2017-01-17 14:00:00,FXB,120.94,121.12,120.89,120.927,11961
2017-01-17 15:00:00,FXB,120.96,121.0099,120.9048,120.95,14400
2017-01-17 16:00:00,FXB,121.0,121.02,120.85,120.93,555
2017-01-17 18:00:00,FXB,120.96,120.96,120.96,120.96,132
2017-01-17 20:00:00,FXB,120.96,120.96,120.96,120.96,132
2017-01-18 05:00:00,FXB,120.0,120.0,120.0,120.0,20
