DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 08:00:00,FXY,82.52,82.52,82.52,82.52,200
2017-01-03 09:00:00,FXY,81.6,82.52,81.55,82.52,29671
2017-01-03 10:00:00,FXY,81.7029,81.71,81.31,81.51,32503
2017-01-03 11:00:00,FXY,82.02,82.1989,81.7,81.75,7891
2017-01-03 12:00:00,FXY,82.11,82.11,81.97,81.98,2062
2017-01-03 13:00:00,FXY,82.0,82.26,82.0,82.2,7161
2017-01-03 14:00:00,FXY,82.0,82.02,81.96,82.02,12452
2017-01-03 15:00:00,FXY,81.89,82.08,81.89,81.989,25363
2017-01-03 16:00:00,FXY,81.87,81.93,81.87,81.87,77242
2017-01-03 18:00:00,FXY,81.87,81.87,81.87,81.87,25683
2017-01-03 20:00:00,FXY,81.87,81.87,81.87,81.87,25683
2017-01-04 09:00:00,FXY,82.3,82.33,82.12,82.21,4218
2017-01-04 10:00:00,FXY,82.23,82.398,82.2,82.29,62338
2017-01-04 11:00:00,FXY,82.1747,82.29,82.1169,82.29,20997
2017-01-04 12:00:00,FXY,82.16,82.2692,82.16,82.17,7545
2017-01-04 13:00:00,FXY,82.18,82.18,82.13,82.15,17273
2017-01-04 14:00:00,FXY,81.99,82.33,81.93,82.15,41100
2017-01-04 15:00:00,FXY,82.19,82.19,82.011,82.011,9279
2017-01-04 16:00:00,FXY,82.2,82.2,82.15,82.2,32619
2017-01-04 18:00:00,FXY,82.2,82.2,82.2,82.2,10823
2017-01-04 20:00:00,FXY,82.2,82.2,82.2,82.2,10823
2017-01-05 08:00:00,FXY,83.08,83.08,82.95,82.95,350
2017-01-05 09:00:00,FXY,83.11,83.2,83.06,83.15,13286
2017-01-05 10:00:00,FXY,83.62,83.62,83.12,83.12,44484
2017-01-05 11:00:00,FXY,83.56,83.69,83.4752,83.4752,13047
2017-01-05 12:00:00,FXY,83.59,83.59,83.49,83.51,13140
2017-01-05 13:00:00,FXY,83.46,83.635,83.4,83.5701,23884
2017-01-05 14:00:00,FXY,83.45,83.53,83.37,83.465,23976
2017-01-05 15:00:00,FXY,83.47,83.49,83.3801,83.46,116072
2017-01-05 16:00:00,FXY,83.5,83.5,83.48,83.5,197155
2017-01-05 18:00:00,FXY,83.5,83.5,83.5,83.5,65685
2017-01-05 20:00:00,FXY,83.5,83.5,83.5,83.5,65685
2017-01-06 08:00:00,FXY,82.69,83.3,82.69,83.3,18622
2017-01-06 09:00:00,FXY,82.7692,82.95,82.5901,82.69,28019
