DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 04:00:00,GOOG,801.89,802.3,782.0,782.0,784
2017-01-03 05:00:00,GOOG,799.5,801.69,777.0,779.9,1064
2017-01-03 06:00:00,GOOG,800.05,801.37,778.66,780.96,216
2017-01-03 07:00:00,GOOG,800.23,801.97,779.45,781.0,1081
2017-01-03 08:00:00,GOOG,800.0,801.0,771.82,779.37,10994
2017-01-03 09:00:00,GOOG,806.15,806.76,775.8,778.0,789988
2017-01-03 10:00:00,GOOG,805.4501,811.435,784.15,784.89,599436
2017-01-03 11:00:00,GOOG,808.57,809.37,778.81,784.74,433049
2017-01-03 12:00:00,GOOG,808.6,808.9699,784.211,786.0066,334996
2017-01-03 13:00:00,GOOG,805.3014,809.1,782.99,786.44,224584
2017-01-03 14:00:00,GOOG,805.479,806.347,781.06,783.24,303345
2017-01-03 15:00:00,GOOG,808.0,808.0,781.47,782.83,718012
2017-01-03 16:00:00,GOOG,807.84,808.1,782.3077,786.14,463212
2017-01-03 17:00:00,GOOG,807.02,808.01,784.32,786.14,16351
2017-01-03 18:00:00,GOOG,807.51,808.01,786.14,786.14,436
2017-01-03 19:00:00,GOOG,807.5,807.5,784.41,784.61,51
2017-01-04 04:00:00,GOOG,810.03,810.03,786.58,786.58,75
2017-01-04 05:00:00,GOOG,787.87,787.87,787.87,787.87,1
2017-01-04 06:00:00,GOOG,809.98,810.04,787.87,788.09,103
2017-01-04 07:00:00,GOOG,809.99,810.0,788.09,789.39,380
2017-01-04 08:00:00,GOOG,809.0,810.0,787.17,787.17,2790
2017-01-04 09:00:00,GOOG,806.6671,813.5,784.1,788.0,466108
2017-01-04 10:00:00,GOOG,806.535,808.82,783.16,784.83,414483
2017-01-04 11:00:00,GOOG,806.56,807.429,784.44,785.4313,291217
2017-01-04 12:00:00,GOOG,807.81,808.49,785.82,786.4575,206201
2017-01-04 13:00:00,GOOG,807.71,809.0,784.7332,787.4,242006
2017-01-04 14:00:00,GOOG,808.4399,809.642,786.49,787.2,255360
2017-01-04 15:00:00,GOOG,807.77,809.0,785.61,788.01,516428
2017-01-04 16:00:00,GOOG,807.12,807.77,785.66,786.9,421539
2017-01-04 17:00:00,GOOG,807.77,807.77,785.83,786.48,1911
2017-01-04 18:00:00,GOOG,807.77,807.77,786.45,786.45,468
2017-01-04 19:00:00,GOOG,806.03,806.03,785.8,786.4,121
2017-01-05 04:00:00,GOOG,808.8,808.8,808.8,808.8,32
2017-01-05 05:00:00,GOOG,786.68,787.26,786.68,787.26,9
2017-01-05 07:00:00,GOOG,806.0,806.8,786.46,786.47,246
2017-01-05 08:00:00,GOOG,806.0,806.8,784.75,786.0,1217
2017-01-05 09:00:00,GOOG,811.299,813.0,784.76,785.96,410998
2017-01-05 10:00:00,GOOG,811.2884,813.43,788.44,789.315,332798
2017-01-05 11:00:00,GOOG,809.85,811.4,787.5,789.9,176759
2017-01-05 12:00:00,GOOG,811.51,812.0,788.18,789.449,293878
2017-01-05 13:00:00,GOOG,810.9,812.0,789.49,790.85,209754
2017-01-05 14:00:00,GOOG,812.301,813.28,789.6301,789.765,257051
2017-01-05 15:00:00,GOOG,813.05,813.75,791.47,791.7,730893
2017-01-05 16:00:00,GOOG,813.0,813.48,789.7633,794.02,485740
2017-01-05 17:00:00,GOOG,813.0,813.69,793.51,793.72,21831
2017-01-05 18:00:00,GOOG,813.25,813.55,793.61,793.61,1770
2017-01-05 19:00:00,GOOG,813.45,813.5,793.9,793.9,323
2017-01-06 06:00:00,GOOG,813.03,814.24,793.89,794.99,108
2017-01-06 07:00:00,GOOG,795.0,795.0,795.0,795.0,24
2017-01-06 08:00:00,GOOG,815.0,815.0,794.75,794.99,4506
2017-01-06 09:00:00,GOOG,819.45,819.45,792.001,795.45,467152
2017-01-06 10:00:00,GOOG,821.35,822.54,795.26,799.2,619353
2017-01-06 11:00:00,GOOG,824.24,824.46,800.9,801.16,397223
2017-01-06 12:00:00,GOOG,825.1347,826.3,803.5,804.59,368192
2017-01-06 13:00:00,GOOG,827.1226,827.36,782.8119,804.99,321377
2017-01-06 14:00:00,GOOG,827.9261,828.96,806.2108,806.2108,399632
2017-01-06 15:00:00,GOOG,825.21,828.8075,805.79,807.18,798766
2017-01-06 16:00:00,GOOG,825.89,826.05,801.8207,806.12,551422
2017-01-06 17:00:00,GOOG,824.6,825.52,806.06,806.25,809
2017-01-06 18:00:00,GOOG,825.0,825.25,805.75,806.0,2312
2017-01-06 19:00:00,GOOG,824.82,824.97,805.52,805.98,591
2017-01-09 04:00:00,GOOG,824.83,824.83,805.77,805.77,59
2017-01-09 05:00:00,GOOG,826.68,827.0,807.99,807.99,75
2017-01-09 06:00:00,GOOG,826.99,826.99,806.73,807.05,300
2017-01-09 07:00:00,GOOG,826.49,826.8,807.23,807.38,435
2017-01-09 08:00:00,GOOG,827.5,828.0,805.53,806.73,8647
2017-01-09 09:00:00,GOOG,824.04,827.3,804.051,807.45,434598
2017-01-09 10:00:00,GOOG,824.6,824.8799,802.83,805.41,408906
2017-01-09 11:00:00,GOOG,827.74,828.0,804.11,804.94,307583
2017-01-09 12:00:00,GOOG,829.7499,830.59,807.25,807.91,285816
2017-01-09 13:00:00,GOOG,829.9402,830.2,808.8,809.12,263740
2017-01-09 14:00:00,GOOG,828.4119,830.3699,807.46,809.65,251565
2017-01-09 15:00:00,GOOG,827.17,829.0699,806.22,807.66,469079
2017-01-09 16:00:00,GOOG,827.9,827.9,805.9,806.65,710068
2017-01-09 17:00:00,GOOG,827.18,827.18,806.65,806.65,702
2017-01-09 18:00:00,GOOG,826.35,827.4,806.5,806.5,318
2017-01-09 19:00:00,GOOG,827.45,827.45,806.42,806.5,110
2017-01-10 05:00:00,GOOG,806.91,807.02,806.91,807.02,15
2017-01-10 06:00:00,GOOG,828.0,828.0,806.91,806.91,74
2017-01-10 07:00:00,GOOG,828.99,829.0,806.91,806.91,807
2017-01-10 08:00:00,GOOG,828.0,829.0,806.79,807.0,2300
2017-01-10 09:00:00,GOOG,825.17,829.62,803.33,806.75,410950
2017-01-10 10:00:00,GOOG,824.5501,827.16,761.423,805.005,286863
2017-01-10 11:00:00,GOOG,827.44,828.0,804.78,805.0,278197
2017-01-10 12:00:00,GOOG,826.245,828.61,805.29,807.22,255833
2017-01-10 13:00:00,GOOG,825.21,827.5,804.01,805.38,164091
2017-01-10 14:00:00,GOOG,826.1461,828.0,803.75,804.01,255496
2017-01-10 15:00:00,GOOG,826.01,827.2327,804.45,805.26,401323
2017-01-10 16:00:00,GOOG,825.63,826.1,804.3,804.79,567932
2017-01-10 17:00:00,GOOG,827.0,827.0,804.61,804.61,2766
2017-01-10 18:00:00,GOOG,827.0,827.0,805.05,805.05,296
2017-01-10 19:00:00,GOOG,826.26,826.51,808.455,808.455,222
2017-01-11 06:00:00,GOOG,826.5,826.5,805.94,805.94,118
2017-01-11 07:00:00,GOOG,826.08,827.48,804.9,805.16,636
2017-01-11 08:00:00,GOOG,827.5,827.5,804.49,804.89,683
2017-01-11 09:00:00,GOOG,823.54,827.5,801.26,804.835,357301
2017-01-11 10:00:00,GOOG,825.61,826.22,802.321,803.04,279466
2017-01-11 11:00:00,GOOG,826.6,826.6,801.8101,804.77,307132
2017-01-11 12:00:00,GOOG,825.92,827.0899,803.11,805.4,190599
2017-01-11 13:00:00,GOOG,825.79,826.44,803.0,804.74,229873
2017-01-11 14:00:00,GOOG,828.58,828.77,803.81,804.5668,266916
2017-01-11 15:00:00,GOOG,829.77,829.9099,806.5139,806.66,445627
2017-01-11 16:00:00,GOOG,829.52,829.91,804.1731,807.86,545272
2017-01-11 17:00:00,GOOG,829.91,829.91,807.91,807.91,8673
2017-01-11 18:00:00,GOOG,829.98,830.0,807.14,808.03,1520
2017-01-11 19:00:00,GOOG,829.52,830.0,807.76,807.99,517
2017-01-12 04:00:00,GOOG,829.0,829.0,807.0,807.0,3
2017-01-12 05:00:00,GOOG,828.49,828.49,807.0,807.0,6
2017-01-12 06:00:00,GOOG,828.99,828.99,805.88,807.0,22
2017-01-12 07:00:00,GOOG,828.2,828.79,805.0,807.3,412
2017-01-12 08:00:00,GOOG,828.4,829.86,805.0,805.79,2871
2017-01-12 09:00:00,GOOG,826.82,829.86,804.0,806.49,366818
2017-01-12 10:00:00,GOOG,822.879,827.39,800.0,804.65,419203
2017-01-12 11:00:00,GOOG,824.3202,828.94,799.11,800.27,307789
2017-01-12 12:00:00,GOOG,825.48,826.48,801.93,802.5,335049
2017-01-12 13:00:00,GOOG,827.0403,827.48,802.56,803.28,363912
2017-01-12 14:00:00,GOOG,828.41,828.98,803.09,803.88,259093
2017-01-12 15:00:00,GOOG,829.47,830.4,804.42,805.48,417165
2017-01-12 16:00:00,GOOG,829.35,830.14,800.5599,806.34,438579
2017-01-12 17:00:00,GOOG,829.53,829.7,805.48,805.99,303
2017-01-12 18:00:00,GOOG,830.25,830.25,806.02,806.29,523
2017-01-13 04:00:00,GOOG,806.84,806.84,806.84,806.84,1
2017-01-13 05:00:00,GOOG,807.99,807.99,806.84,806.84,10
2017-01-13 06:00:00,GOOG,807.0,807.29,807.0,807.29,11
2017-01-13 07:00:00,GOOG,830.14,831.25,806.51,806.81,424
2017-01-13 08:00:00,GOOG,831.35,831.81,807.5,808.8,2420
2017-01-13 09:00:00,GOOG,832.4,834.6515,805.96,807.6,569815
2017-01-13 10:00:00,GOOG,831.8796,833.8701,807.72,809.04,330089
2017-01-13 11:00:00,GOOG,832.6125,833.24,807.16,808.47,222352
2017-01-13 12:00:00,GOOG,831.4183,832.79,807.13,809.59,181940
2017-01-13 13:00:00,GOOG,831.35,832.77,808.2401,808.2401,175854
2017-01-13 14:00:00,GOOG,831.57,832.18,807.4,808.595,259410
2017-01-13 15:00:00,GOOG,830.92,831.8999,807.0,808.23,409368
2017-01-13 16:00:00,GOOG,831.46,831.75,807.07,807.8,477356
2017-01-13 17:00:00,GOOG,679.59,831.55,679.59,808.0,6358
2017-01-13 18:00:00,GOOG,830.9,831.02,807.77,807.77,262
2017-01-13 19:00:00,GOOG,831.29,831.29,808.01,808.01,308
2017-01-17 04:00:00,GOOG,827.0,831.0,806.0,806.0,239
2017-01-17 05:00:00,GOOG,827.99,827.99,807.27,807.27,9
2017-01-17 06:00:00,GOOG,827.51,827.51,806.17,806.79,132
2017-01-17 07:00:00,GOOG,829.35,829.46,805.39,806.79,1546
2017-01-17 08:00:00,GOOG,830.4,830.94,806.0,806.83,1458
2017-01-17 09:00:00,GOOG,823.9,830.45,800.27,806.95,532792
2017-01-17 10:00:00,GOOG,826.7958,827.24,800.51,800.5101,432605
2017-01-17 11:00:00,GOOG,827.49,827.8499,802.4,804.3999,222830
2017-01-17 12:00:00,GOOG,826.628,828.1641,802.5592,804.34,162716
2017-01-17 13:00:00,GOOG,827.5,829.0,803.0,803.12,134526
2017-01-17 14:00:00,GOOG,825.2198,828.0,801.78,804.0501,196940
2017-01-17 15:00:00,GOOG,827.08,827.46,801.55,802.07,465644
2017-01-17 16:00:00,GOOG,826.4784,827.46,802.7204,804.61,947845
2017-01-17 17:00:00,GOOG,827.46,827.99,804.31,804.61,2116
2017-01-17 18:00:00,GOOG,827.46,827.46,804.32,804.32,35
2017-01-17 19:00:00,GOOG,827.45,827.45,804.5,804.5,53
2017-01-18 04:00:00,GOOG,807.98,807.98,807.98,807.98,2
2017-01-18 05:00:00,GOOG,806.71,807.97,806.71,807.97,2
2017-01-18 06:00:00,GOOG,806.71,806.71,806.71,806.71,24
2017-01-18 07:00:00,GOOG,828.0,829.75,806.0,806.03,170
2017-01-18 08:00:00,GOOG,829.39,829.39,805.54,806.07,2829
2017-01-18 09:00:00,GOOG,826.78,830.0,802.55,806.0,322533
2017-01-18 10:00:00,GOOG,825.99,828.4999,802.11,804.11,421760
2017-01-18 11:00:00,GOOG,824.151,826.7175,800.89,803.2046,274899
2017-01-18 12:00:00,GOOG,825.15,826.4499,801.14,801.35,129606
2017-01-18 13:00:00,GOOG,825.5999,826.67,801.502,801.76,197879
2017-01-18 14:00:00,GOOG,826.46,827.5204,801.6307,801.84,260823
2017-01-18 15:00:00,GOOG,828.86,829.14,802.2201,802.8941,475468
2017-01-18 16:00:00,GOOG,830.0,831.45,801.85,806.06,493986
2017-01-18 17:00:00,GOOG,829.0,830.0,806.04,806.5,1155
2017-01-18 18:00:00,GOOG,829.99,829.99,806.07,806.07,287
2017-01-18 19:00:00,GOOG,829.23,829.99,806.07,806.68,1039
2017-01-19 04:00:00,GOOG,806.99,806.99,806.02,806.02,9
2017-01-19 05:00:00,GOOG,827.5,829.0,827.5,829.0,24
2017-01-19 06:00:00,GOOG,829.0,829.0,828.8,828.8,166
2017-01-19 07:00:00,GOOG,829.37,829.37,805.6,805.6,48
2017-01-19 08:00:00,GOOG,829.0,831.45,805.0,805.58,4872
2017-01-19 09:00:00,GOOG,831.87,832.9999,804.1,805.95,339235
2017-01-19 10:00:00,GOOG,827.0999,832.28,803.5,808.63,379746
2017-01-19 11:00:00,GOOG,827.13,827.92,803.291,804.32,170544
