DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 04:00:00,IBM,166.5,166.5,166.5,166.5,983
2017-01-03 06:00:00,IBM,167.0,167.39,167.0,167.39,69
2017-01-03 07:00:00,IBM,167.87,167.87,167.3,167.3,2221
2017-01-03 08:00:00,IBM,166.63,167.87,165.99,167.36,1982
2017-01-03 09:00:00,IBM,167.11,167.6999,166.75,166.85,418974
2017-01-03 10:00:00,IBM,166.89,167.89,166.81,167.148,419326
2017-01-03 11:00:00,IBM,166.73,167.0,166.01,166.91,312005
2017-01-03 12:00:00,IBM,166.54,166.81,166.39,166.74,191198
2017-01-03 13:00:00,IBM,166.47,166.649,166.31,166.5242,159201
2017-01-03 14:00:00,IBM,166.515,166.71,166.35,166.46,295057
2017-01-03 15:00:00,IBM,167.19,167.26,166.37,166.52,622273
2017-01-03 16:00:00,IBM,167.19,167.48,166.5163,167.19,881001
2017-01-03 17:00:00,IBM,167.19,167.19,167.15,167.15,2097
2017-01-03 18:00:00,IBM,167.15,167.15,167.15,167.15,6
2017-01-03 19:00:00,IBM,167.19,167.29,167.19,167.29,180
2017-01-04 08:00:00,IBM,167.25,167.59,167.19,167.25,605
2017-01-04 09:00:00,IBM,168.0356,168.15,167.36,167.58,315629
2017-01-04 10:00:00,IBM,169.08,169.24,167.82,168.04,460240
2017-01-04 11:00:00,IBM,168.6347,169.1365,168.26,169.08,293816
2017-01-04 12:00:00,IBM,168.81,168.83,168.42,168.66,390840
2017-01-04 13:00:00,IBM,169.02,169.04,167.4,168.82,282007
2017-01-04 14:00:00,IBM,169.2671,169.47,168.82,169.0,411550
2017-01-04 15:00:00,IBM,169.27,169.87,169.16,169.28,792057
2017-01-04 16:00:00,IBM,169.0,169.32,168.5711,169.24,803424
2017-01-04 17:00:00,IBM,169.26,169.26,166.9624,166.9624,4507
2017-01-04 18:00:00,IBM,169.43,169.43,169.26,169.26,300
2017-01-05 07:00:00,IBM,169.29,169.29,169.29,169.29,49
2017-01-05 08:00:00,IBM,169.25,169.25,168.62,169.15,263
2017-01-05 09:00:00,IBM,168.71,169.4,166.176,169.0,415062
2017-01-05 10:00:00,IBM,168.409,169.39,168.12,168.7999,416980
2017-01-05 11:00:00,IBM,167.95,168.45,167.26,168.34,396892
2017-01-05 12:00:00,IBM,168.03,168.18,167.621,167.95,239159
2017-01-05 13:00:00,IBM,168.3399,168.3825,167.85,168.07,262730
2017-01-05 14:00:00,IBM,168.46,168.6,168.32,168.339,243720
2017-01-05 15:00:00,IBM,168.71,168.94,168.41,168.46,486716
2017-01-05 16:00:00,IBM,168.65,168.71,167.7718,168.71,384911
2017-01-05 17:00:00,IBM,168.52,168.7,168.51,168.65,711
2017-01-05 18:00:00,IBM,168.89,168.89,168.89,168.89,5
2017-01-05 19:00:00,IBM,168.88,168.88,168.75,168.75,120
2017-01-06 08:00:00,IBM,168.21,168.25,168.2,168.2,110
2017-01-06 09:00:00,IBM,167.84,168.82,167.51,168.66,217836
2017-01-06 10:00:00,IBM,168.26,168.69,167.77,167.87,285058
2017-01-06 11:00:00,IBM,169.028,169.1,168.21,168.29,229915
2017-01-06 12:00:00,IBM,169.01,169.28,168.87,169.01,195945
2017-01-06 13:00:00,IBM,169.09,169.28,168.8,168.981,226258
2017-01-06 14:00:00,IBM,169.312,169.4699,168.9791,169.09,409193
2017-01-06 15:00:00,IBM,169.57,169.93,169.3,169.3,644329
2017-01-06 16:00:00,IBM,169.53,169.6,168.9568,169.57,1200280
2017-01-06 17:00:00,IBM,169.53,169.53,169.34,169.34,25
2017-01-06 18:00:00,IBM,169.53,169.53,169.53,169.53,53
2017-01-09 06:00:00,IBM,169.06,169.06,169.06,169.06,50
2017-01-09 08:00:00,IBM,169.34,169.37,169.0,169.37,311
2017-01-09 09:00:00,IBM,169.405,169.8,169.02,169.29,288490
2017-01-09 10:00:00,IBM,168.81,169.63,168.72,169.3,381704
2017-01-09 11:00:00,IBM,168.44,168.837,168.23,168.79,295833
2017-01-09 12:00:00,IBM,168.56,168.57,168.33,168.45,235787
2017-01-09 13:00:00,IBM,168.4301,168.59,168.3,168.56,168013
2017-01-09 14:00:00,IBM,167.8199,168.51,167.8,168.46,419959
2017-01-09 15:00:00,IBM,167.72,168.06,167.62,167.8,757823
2017-01-09 16:00:00,IBM,167.66,168.5352,167.65,167.72,1099947
2017-01-09 17:00:00,IBM,167.65,167.94,167.65,167.94,3764
2017-01-09 19:00:00,IBM,167.65,167.73,167.56,167.73,478
2017-01-10 09:00:00,IBM,166.7625,168.45,166.55,167.99,363853
2017-01-10 10:00:00,IBM,166.59,168.6975,166.38,166.78,479144
2017-01-10 11:00:00,IBM,166.48,166.88,166.3,166.58,660126
2017-01-10 12:00:00,IBM,166.47,166.73,166.28,166.5043,419791
2017-01-10 13:00:00,IBM,166.07,166.64,166.03,166.48,339632
2017-01-10 14:00:00,IBM,165.79,166.08,165.34,166.08,426873
2017-01-10 15:00:00,IBM,165.54,166.02,165.5,165.79,834163
2017-01-10 16:00:00,IBM,165.88,166.5868,165.52,165.54,999034
2017-01-10 17:00:00,IBM,165.52,165.82,165.52,165.8,825
2017-01-10 19:00:00,IBM,165.87,165.87,165.87,165.87,500
2017-01-11 04:00:00,IBM,165.51,165.51,165.51,165.51,37
