DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 04:00:00,MSFT,62.6,62.77,62.6,62.71,4640
2017-01-03 05:00:00,MSFT,62.7,62.8,62.7,62.72,296
2017-01-03 06:00:00,MSFT,62.85,62.85,62.8,62.8,1114
2017-01-03 07:00:00,MSFT,62.8,62.85,62.8,62.85,3455
2017-01-03 08:00:00,MSFT,62.55,62.8,62.14,62.75,35417
2017-01-03 09:00:00,MSFT,62.57,62.85,62.42,62.6,3857669
2017-01-03 10:00:00,MSFT,62.34,62.84,62.33,62.57,2594990
2017-01-03 11:00:00,MSFT,62.4157,62.76,62.25,62.34,2661658
2017-01-03 12:00:00,MSFT,62.365,62.43,62.285,62.41,1230945
2017-01-03 13:00:00,MSFT,62.265,62.42,62.24,62.365,1702424
2017-01-03 14:00:00,MSFT,62.23,62.76,62.14,62.265,1623657
2017-01-03 15:00:00,MSFT,62.57,62.58,62.125,62.23,4572167
2017-01-03 16:00:00,MSFT,62.44,62.59,62.347,62.57,5470678
2017-01-03 17:00:00,MSFT,62.58,62.58,62.33,62.44,99187
2017-01-03 18:00:00,MSFT,62.4,62.58,62.4,62.4,36240
2017-01-03 19:00:00,MSFT,62.42,62.42,62.34,62.4,386
2017-01-04 04:00:00,MSFT,62.5,62.67,62.5,62.67,995
2017-01-04 06:00:00,MSFT,62.75,62.75,62.7,62.7,114
2017-01-04 07:00:00,MSFT,62.6,62.66,62.56,62.66,517
2017-01-04 08:00:00,MSFT,62.67,62.71,62.6,62.71,1719
2017-01-04 09:00:00,MSFT,62.245,62.75,62.24,62.6,3011758
2017-01-04 10:00:00,MSFT,62.35,62.37,62.15,62.24,2456310
2017-01-04 11:00:00,MSFT,62.21,62.39,62.2,62.35,1753472
2017-01-04 12:00:00,MSFT,62.195,62.3,62.12,62.22,1863546
2017-01-04 13:00:00,MSFT,62.21,62.31,62.16,62.1919,1842222
2017-01-04 14:00:00,MSFT,62.38,62.5,62.19,62.21,1954524
2017-01-04 15:00:00,MSFT,62.3,62.45,62.1987,62.37,4342910
2017-01-04 16:00:00,MSFT,62.3,62.3094,62.14,62.3,7119018
2017-01-04 17:00:00,MSFT,62.31,63.41,62.2925,62.3,22318
2017-01-04 18:00:00,MSFT,62.3,62.3,62.3,62.3,14569
2017-01-04 19:00:00,MSFT,62.25,62.25,62.25,62.25,80
2017-01-05 05:00:00,MSFT,62.76,62.76,62.76,62.76,3
2017-01-05 06:00:00,MSFT,62.3,62.3,62.25,62.28,1626
2017-01-05 07:00:00,MSFT,62.15,62.3,62.15,62.3,724
2017-01-05 08:00:00,MSFT,62.3,62.3,62.17,62.17,9250
2017-01-05 09:00:00,MSFT,62.46,62.665,62.02,62.3,3118889
2017-01-05 10:00:00,MSFT,62.37,62.52,62.21,62.47,3427488
2017-01-05 11:00:00,MSFT,62.445,62.4665,62.17,62.37,2205696
2017-01-05 12:00:00,MSFT,62.429,62.52,62.341,62.445,2386044
2017-01-05 13:00:00,MSFT,62.31,62.51,62.31,62.4299,2049740
2017-01-05 14:00:00,MSFT,62.275,62.41,62.218,62.315,2238249
2017-01-05 15:00:00,MSFT,62.3,62.43,62.27,62.28,3500597
2017-01-05 16:00:00,MSFT,62.3,62.485,62.24,62.3,8962918
2017-01-05 17:00:00,MSFT,62.35,62.35,62.3,62.35,22761
2017-01-05 18:00:00,MSFT,62.31,62.35,62.3,62.31,7675
2017-01-05 19:00:00,MSFT,62.35,62.35,62.31,62.31,250
2017-01-06 07:00:00,MSFT,62.4,62.4,62.31,62.35,60
2017-01-06 08:00:00,MSFT,62.35,62.5,62.3,62.5,2937
2017-01-06 09:00:00,MSFT,62.52,62.65,62.04,62.4,3070542
2017-01-06 10:00:00,MSFT,62.625,62.69,62.41,62.52,2764330
2017-01-06 11:00:00,MSFT,62.9699,62.97,62.42,62.63,2298738
2017-01-06 12:00:00,MSFT,63.1,63.13,59.1799,62.965,3249581
2017-01-06 13:00:00,MSFT,63.025,63.15,62.99,63.09,1580198
2017-01-06 14:00:00,MSFT,63.012,63.12,62.93,63.02,1849209
2017-01-06 15:00:00,MSFT,62.84,63.03,62.81,63.01,3630361
2017-01-06 16:00:00,MSFT,62.83,62.97,62.777,62.84,4361084
2017-01-06 17:00:00,MSFT,62.84,62.9,62.8,62.83,17118
2017-01-06 18:00:00,MSFT,62.8,62.84,62.8,62.8,3522
2017-01-06 19:00:00,MSFT,62.8,62.84,62.8,62.84,3366
2017-01-09 04:00:00,MSFT,63.13,63.14,63.13,63.14,635
2017-01-09 05:00:00,MSFT,63.13,63.13,63.13,63.13,4
2017-01-09 06:00:00,MSFT,63.02,63.02,63.01,63.01,188
2017-01-09 07:00:00,MSFT,62.99,63.02,62.97,63.02,737
2017-01-09 08:00:00,MSFT,62.95,62.99,62.88,62.99,2301
2017-01-09 09:00:00,MSFT,63.03,63.08,61.18,62.95,3640122
2017-01-09 10:00:00,MSFT,62.85,63.06,62.77,63.025,2405836
2017-01-09 11:00:00,MSFT,62.84,62.93,62.64,62.84,1227497
2017-01-09 12:00:00,MSFT,62.88,62.9,62.75,62.845,1775971
2017-01-09 13:00:00,MSFT,62.69,62.885,62.64,62.8828,1660979
2017-01-09 14:00:00,MSFT,62.65,62.7,62.54,62.69,1859919
2017-01-09 15:00:00,MSFT,62.65,62.8353,62.61,62.65,2675116
2017-01-09 16:00:00,MSFT,62.75,62.75,62.56,62.66,9364449
2017-01-09 17:00:00,MSFT,62.64,62.74,62.64,62.74,147
2017-01-09 18:00:00,MSFT,62.69,62.69,62.64,62.64,5020
2017-01-09 19:00:00,MSFT,62.66,62.66,62.64,62.65,3250
2017-01-10 04:00:00,MSFT,63.06,63.06,63.06,63.06,1
2017-01-10 06:00:00,MSFT,62.7,62.7,62.7,62.7,194
2017-01-10 07:00:00,MSFT,62.7,62.93,62.7,62.93,5707
2017-01-10 08:00:00,MSFT,62.65,62.74,62.65,62.71,12325
2017-01-10 09:00:00,MSFT,62.48,62.8,62.28,62.73,2748995
2017-01-10 10:00:00,MSFT,62.67,62.8,62.3,62.49,3029263
2017-01-10 11:00:00,MSFT,62.975,63.07,62.66,62.68,2160472
2017-01-10 12:00:00,MSFT,62.79,63.0228,62.71,62.9701,1473553
2017-01-10 13:00:00,MSFT,62.63,62.96,62.61,62.79,1355875
2017-01-10 14:00:00,MSFT,62.665,62.77,62.57,62.625,1835696
2017-01-10 15:00:00,MSFT,62.62,62.74,62.59,62.68,2547081
2017-01-10 16:00:00,MSFT,62.54,62.72,62.54,62.62,6005238
2017-01-10 17:00:00,MSFT,62.62,62.72,62.62,62.71,5010
2017-01-10 18:00:00,MSFT,62.71,62.71,62.66,62.66,492
2017-01-10 19:00:00,MSFT,62.7,62.7,62.66,62.7,350
2017-01-11 04:00:00,MSFT,62.7,62.7,62.7,62.7,100
