DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 04:00:00,NVDA,108.0,108.7,108.0,108.1,11518
2017-01-03 05:00:00,NVDA,108.04,108.4,108.0,108.0,3202
2017-01-03 06:00:00,NVDA,108.0,108.4,107.75,108.01,5367
2017-01-03 07:00:00,NVDA,108.58,108.84,107.81,107.9,17389
2017-01-03 08:00:00,NVDA,105.32,108.87,104.58,108.61,249662
2017-01-03 09:00:00,NVDA,104.67,106.74,102.8,105.42,5735857
2017-01-03 10:00:00,NVDA,103.4309,106.37,103.26,104.635,5523757
2017-01-03 11:00:00,NVDA,102.2,104.28,102.01,103.41,3702504
2017-01-03 12:00:00,NVDA,100.6181,102.21,99.38,102.2,6798460
2017-01-03 13:00:00,NVDA,100.821,104.43,99.72,100.6399,4291626
2017-01-03 14:00:00,NVDA,101.31,101.87,100.25,100.82,4361480
2017-01-03 15:00:00,NVDA,102.0,102.18,100.9,101.349,6037276
2017-01-03 16:00:00,NVDA,102.17,102.344,100.541,102.0,1651773
2017-01-03 17:00:00,NVDA,102.2,102.28,102.0,102.17,20830
2017-01-03 18:00:00,NVDA,102.15,102.27,102.05,102.18,14994
2017-01-03 19:00:00,NVDA,102.05,102.2,102.05,102.13,16902
2017-01-04 04:00:00,NVDA,102.9,103.62,102.0,102.2,2710
2017-01-04 05:00:00,NVDA,102.9,102.9,102.9,102.9,260
2017-01-04 06:00:00,NVDA,102.0,102.28,102.0,102.0,225
2017-01-04 07:00:00,NVDA,102.8,102.85,101.59,102.79,16445
2017-01-04 08:00:00,NVDA,103.45,103.68,101.65,102.75,99153
2017-01-04 09:00:00,NVDA,102.95,105.5,102.6401,103.4,5580318
2017-01-04 10:00:00,NVDA,102.26,103.58,102.04,102.94,5176677
2017-01-04 11:00:00,NVDA,102.9552,103.38,101.53,102.25,4276022
2017-01-04 12:00:00,NVDA,104.4507,104.53,102.2277,102.93,3798274
2017-01-04 13:00:00,NVDA,104.46,104.89,101.7075,104.4555,2568490
2017-01-04 14:00:00,NVDA,104.34,104.765,103.76,104.46,2955062
2017-01-04 15:00:00,NVDA,104.39,104.7099,102.92,104.33,3943031
2017-01-04 16:00:00,NVDA,104.59,104.64,103.583,104.39,3313293
2017-01-04 17:00:00,NVDA,104.8,105.321,104.3775,104.59,27439
2017-01-04 18:00:00,NVDA,104.7,104.96,104.7,104.91,12159
2017-01-04 19:00:00,NVDA,104.8,104.94,104.7,104.8,12461
2017-01-05 04:00:00,NVDA,106.73,106.75,105.8,106.01,5751
2017-01-05 05:00:00,NVDA,106.85,107.0,106.35,106.73,5307
2017-01-05 06:00:00,NVDA,107.1,107.51,106.95,107.15,11928
2017-01-05 07:00:00,NVDA,105.8,107.25,105.4,107.1,52066
2017-01-05 08:00:00,NVDA,104.28,107.5,103.71,105.99,250346
2017-01-05 09:00:00,NVDA,105.11,105.83,103.06,104.49,4612410
2017-01-05 10:00:00,NVDA,103.01,105.3786,102.43,105.1346,5132374
2017-01-05 11:00:00,NVDA,101.6,103.129,101.05,103.01,4216475
2017-01-05 12:00:00,NVDA,101.91,102.18,101.56,101.62,2020714
2017-01-05 13:00:00,NVDA,101.4045,101.96,101.3,101.949,1719925
2017-01-05 14:00:00,NVDA,101.8789,102.75,101.32,101.38,2516489
2017-01-05 15:00:00,NVDA,101.73,102.299,101.535,101.8501,2959360
2017-01-05 16:00:00,NVDA,101.73,102.6917,101.65,101.74,2425676
2017-01-05 17:00:00,NVDA,101.75,101.75,101.72,101.73,13306
2017-01-05 18:00:00,NVDA,101.78,101.99,101.7,101.75,6038
2017-01-05 19:00:00,NVDA,101.7,101.84,101.65,101.8,9405
2017-01-06 04:00:00,NVDA,102.1,102.1,101.5,101.5,1090
2017-01-06 05:00:00,NVDA,102.4,102.4,102.1,102.1,225
2017-01-06 06:00:00,NVDA,102.19,102.29,101.6,102.29,1501
2017-01-06 07:00:00,NVDA,101.9,102.2,101.9,102.12,1875
2017-01-06 08:00:00,NVDA,102.67,102.8,101.6,101.9,52610
2017-01-06 09:00:00,NVDA,102.45,102.9,101.2,102.65,3290897
2017-01-06 10:00:00,NVDA,103.03,103.3,101.8305,102.4392,3889221
2017-01-06 11:00:00,NVDA,103.38,103.7,102.51,103.0,2926340
2017-01-06 12:00:00,NVDA,104.17,104.24,103.03,103.37,2043737
2017-01-06 13:00:00,NVDA,104.075,104.25,103.7,104.199,1664602
2017-01-06 14:00:00,NVDA,103.29,104.15,102.44,104.09,1714382
2017-01-06 15:00:00,NVDA,103.13,103.6,103.01,103.2967,2150885
2017-01-06 16:00:00,NVDA,103.1,103.29,103.01,103.13,3245490
2017-01-06 17:00:00,NVDA,103.25,103.28,103.01,103.1,2687
2017-01-06 18:00:00,NVDA,103.1,103.25,103.09,103.24,5415
