DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 08:00:00,ORCL,38.37,38.6,38.3,38.6,11192
2017-01-03 09:00:00,ORCL,38.55,38.68,38.31,38.36,1197451
2017-01-03 10:00:00,ORCL,38.36,38.69,38.33,38.555,1503053
2017-01-03 11:00:00,ORCL,38.45,38.5,38.3,38.3638,1639645
2017-01-03 12:00:00,ORCL,38.47,38.54,38.3848,38.45,994326
2017-01-03 13:00:00,ORCL,38.42,38.55,38.4154,38.47,788204
2017-01-03 14:00:00,ORCL,38.3763,38.45,38.31,38.42,1223150
2017-01-03 15:00:00,ORCL,38.54,38.5599,38.37,38.375,2590407
2017-01-03 16:00:00,ORCL,38.55,38.56,38.44,38.54,2158565
2017-01-03 18:00:00,ORCL,38.55,38.55,38.55,38.55,14356
2017-01-04 08:00:00,ORCL,38.38,38.39,38.38,38.38,1056
2017-01-04 09:00:00,ORCL,38.82,38.82,38.55,38.55,843243
2017-01-04 10:00:00,ORCL,38.85,38.885,38.71,38.815,1366344
2017-01-04 11:00:00,ORCL,38.82,38.92,38.8,38.86,1174718
2017-01-04 12:00:00,ORCL,38.81,38.84,38.73,38.825,1011759
2017-01-04 13:00:00,ORCL,38.78,38.87,38.77,38.815,763145
2017-01-04 14:00:00,ORCL,38.79,38.87,38.77,38.78,962149
2017-01-04 15:00:00,ORCL,38.75,38.83,38.675,38.795,2230283
2017-01-04 16:00:00,ORCL,38.74,38.7944,38.74,38.75,2008323
2017-01-04 17:00:00,ORCL,38.56,38.835,38.56,38.74,45
2017-01-04 18:00:00,ORCL,38.74,38.74,38.74,38.74,22331
2017-01-05 07:00:00,ORCL,38.75,38.75,38.75,38.75,500
2017-01-05 08:00:00,ORCL,38.74,38.93,38.74,38.93,411
2017-01-05 09:00:00,ORCL,38.9,38.9599,38.67,38.74,917409
2017-01-05 10:00:00,ORCL,38.68,38.94,38.62,38.9,1120897
2017-01-05 11:00:00,ORCL,38.525,38.6894,38.47,38.68,2128856
2017-01-05 12:00:00,ORCL,38.55,38.63,38.515,38.525,1396963
2017-01-05 13:00:00,ORCL,38.48,38.58,38.48,38.545,954150
2017-01-05 14:00:00,ORCL,38.475,38.515,38.405,38.485,1948867
2017-01-05 15:00:00,ORCL,38.64,38.66,38.47,38.48,2813168
2017-01-05 16:00:00,ORCL,38.66,38.66,38.5921,38.64,1300746
2017-01-05 17:00:00,ORCL,38.66,38.66,38.64,38.64,483
2017-01-05 18:00:00,ORCL,38.66,38.66,38.64,38.64,14955
2017-01-05 19:00:00,ORCL,38.65,38.65,38.65,38.65,300
2017-01-06 09:00:00,ORCL,38.51,38.76,38.42,38.76,685586
2017-01-06 10:00:00,ORCL,38.45,38.57,38.375,38.51,1211093
2017-01-06 11:00:00,ORCL,38.555,38.56,38.42,38.455,1730528
2017-01-06 12:00:00,ORCL,38.47,38.59,38.46,38.555,1776474
2017-01-06 13:00:00,ORCL,38.5153,38.6,38.45,38.47,1988079
2017-01-06 14:00:00,ORCL,38.46,38.57,38.405,38.515,2587163
2017-01-06 15:00:00,ORCL,38.46,38.535,38.43,38.46,3717186
2017-01-06 16:00:00,ORCL,38.4,38.527,38.4,38.46,2075947
2017-01-06 17:00:00,ORCL,38.45,38.51,38.45,38.51,14488
2017-01-06 18:00:00,ORCL,38.45,38.51,38.45,38.51,396
2017-01-09 09:00:00,ORCL,39.21,39.22,38.37,38.5,2321804
2017-01-09 10:00:00,ORCL,39.28,39.29,39.03,39.21,2657928
2017-01-09 11:00:00,ORCL,39.43,39.45,39.23,39.28,2385591
2017-01-09 12:00:00,ORCL,39.28,39.45,39.26,39.435,1340593
2017-01-09 13:00:00,ORCL,39.22,39.285,39.13,39.28,1041546
2017-01-09 14:00:00,ORCL,39.1,39.24,39.06,39.225,1307623
2017-01-09 15:00:00,ORCL,39.05,39.13,39.02,39.1,2591435
2017-01-09 16:00:00,ORCL,39.03,39.24,39.03,39.05,2906037
2017-01-09 17:00:00,ORCL,39.1,39.1,39.1,39.1,330
2017-01-09 18:00:00,ORCL,39.08,39.08,39.08,39.08,500
2017-01-10 09:00:00,ORCL,38.855,39.07,38.725,39.0,1040178
2017-01-10 10:00:00,ORCL,38.8,38.8761,38.7,38.8598,1128301
2017-01-10 11:00:00,ORCL,38.8399,38.91,38.78,38.795,1025131
2017-01-10 12:00:00,ORCL,38.78,38.9,38.78,38.83,1008542
2017-01-10 13:00:00,ORCL,38.795,38.87,38.77,38.785,1144689
2017-01-10 14:00:00,ORCL,38.73,38.81,38.6783,38.79,1566785
2017-01-10 15:00:00,ORCL,38.665,38.8,38.6508,38.735,3110211
2017-01-10 16:00:00,ORCL,38.66,38.775,38.66,38.665,2432239
2017-01-10 17:00:00,ORCL,38.79,38.79,38.66,38.66,3402
2017-01-10 18:00:00,ORCL,38.76,38.76,38.76,38.76,850
2017-01-10 19:00:00,ORCL,38.8,38.82,38.8,38.82,917
2017-01-11 08:00:00,ORCL,38.72,38.8,38.7,38.8,371
2017-01-11 09:00:00,ORCL,38.855,38.87,38.61,38.69,926007
2017-01-11 10:00:00,ORCL,38.94,38.98,38.815,38.86,1306771
2017-01-11 11:00:00,ORCL,38.8899,38.99,38.71,38.94,1406914
2017-01-11 12:00:00,ORCL,38.905,38.96,38.8,38.89,1045698
2017-01-11 13:00:00,ORCL,38.935,38.98,38.77,38.9,1313140
2017-01-11 14:00:00,ORCL,39.04,39.11,38.94,38.94,1235652
2017-01-11 15:00:00,ORCL,39.1,39.125,39.02,39.035,1997046
2017-01-11 16:00:00,ORCL,39.11,39.13,38.86,39.1,1917334
2017-01-11 17:00:00,ORCL,39.11,39.11,39.11,39.11,27430
2017-01-11 18:00:00,ORCL,39.11,39.11,39.11,39.11,10601
2017-01-12 04:00:00,ORCL,39.15,39.15,39.15,39.15,50
2017-01-12 08:00:00,ORCL,39.11,39.11,39.11,39.11,11580
2017-01-12 09:00:00,ORCL,38.77,39.11,38.75,39.11,725532
2017-01-12 10:00:00,ORCL,38.675,38.787,38.58,38.77,1695447
2017-01-12 11:00:00,ORCL,38.695,38.75,38.61,38.67,1258454
2017-01-12 12:00:00,ORCL,38.855,38.86,38.68,38.695,824969
2017-01-12 13:00:00,ORCL,38.9743,39.02,38.84,38.85,1061051
2017-01-12 14:00:00,ORCL,39.125,39.13,38.93,38.975,1676660
2017-01-12 15:00:00,ORCL,39.21,39.32,39.08,39.125,3553401
2017-01-12 16:00:00,ORCL,39.12,39.31,38.775,39.21,1323175
2017-01-12 17:00:00,ORCL,39.2,39.2,39.2,39.2,321
2017-01-13 09:00:00,ORCL,39.185,39.32,39.11,39.16,752715
2017-01-13 10:00:00,ORCL,39.16,39.225,39.03,39.185,1288200
2017-01-13 11:00:00,ORCL,39.2,39.23,39.13,39.1655,1107584
2017-01-13 12:00:00,ORCL,39.205,39.28,39.145,39.2,1141702
2017-01-13 13:00:00,ORCL,39.2,39.24,39.17,39.21,700573
2017-01-13 14:00:00,ORCL,39.24,39.25,39.17,39.2003,801220
2017-01-13 15:00:00,ORCL,39.26,39.33,39.18,39.25,2329457
2017-01-13 16:00:00,ORCL,39.26,39.26,39.2115,39.26,2553425
2017-01-13 18:00:00,ORCL,39.26,39.26,39.26,39.26,1716
2017-01-17 04:00:00,ORCL,39.44,39.44,39.44,39.44,10
