DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 04:00:00,SPY,224.86,224.87,224.3,224.8,46057
2017-01-03 05:00:00,SPY,224.93,224.97,224.84,224.87,69026
2017-01-03 06:00:00,SPY,225.22,225.34,224.94,224.96,72323
2017-01-03 07:00:00,SPY,225.16,225.38,225.08,225.23,455801
2017-01-03 08:00:00,SPY,225.0,225.32,223.53,225.21,530931
2017-01-03 09:00:00,SPY,225.0,225.265,223.2881,225.01,12023437
2017-01-03 10:00:00,SPY,224.66,225.83,223.2881,225.0,18566064
2017-01-03 11:00:00,SPY,224.36,224.76,223.2835,224.66,9868888
2017-01-03 12:00:00,SPY,224.23,224.42,223.2881,224.36,7339149
2017-01-03 13:00:00,SPY,224.0199,224.9437,223.9599,224.23,5106918
2017-01-03 14:00:00,SPY,224.34,224.39,224.0,224.01,5297525
2017-01-03 15:00:00,SPY,225.19,225.19,223.2881,224.35,18795813
2017-01-03 16:00:00,SPY,225.2,225.28,223.2881,225.19,18258768
2017-01-03 17:00:00,SPY,225.24,225.24,225.18,225.2,188326
2017-01-03 18:00:00,SPY,225.19,225.25,225.11,225.24,2084181
2017-01-03 19:00:00,SPY,225.28,225.34,225.12,225.18,88143
2017-01-03 20:00:00,SPY,225.24,225.24,225.24,225.24,1959775
2017-01-04 04:00:00,SPY,225.57,225.6,225.41,225.42,5868
2017-01-04 05:00:00,SPY,225.47,225.67,225.47,225.55,6367
2017-01-04 06:00:00,SPY,225.59,225.64,225.4,225.5,38436
2017-01-04 07:00:00,SPY,225.67,225.67,225.54,225.58,146094
2017-01-04 08:00:00,SPY,225.67,225.79,223.2881,225.24,1574624
2017-01-04 09:00:00,SPY,226.03,226.35,225.24,225.65,9174653
2017-01-04 10:00:00,SPY,226.09,226.24,225.2341,226.02,8062175
2017-01-04 11:00:00,SPY,226.4,226.45,225.2341,226.09,8950463
2017-01-04 12:00:00,SPY,226.3668,226.5,217.8172,226.39,6708802
2017-01-04 13:00:00,SPY,226.35,226.43,225.2341,226.37,4208919
2017-01-04 14:00:00,SPY,226.49,226.71,225.2341,226.355,9600487
2017-01-04 15:00:00,SPY,226.53,226.75,225.2341,226.49,22913009
2017-01-04 16:00:00,SPY,226.47,226.630333,225.2341,226.54,13415777
2017-01-04 17:00:00,SPY,226.51,226.53,225.2341,226.48,1155061
2017-01-04 18:00:00,SPY,226.52,226.6,226.5,226.51,1909117
2017-01-04 19:00:00,SPY,226.59,226.59,226.28,226.51,131759
2017-01-04 20:00:00,SPY,226.58,226.58,226.58,226.58,1777416
2017-01-05 04:00:00,SPY,226.44,226.44,226.1,226.3,22161
2017-01-05 05:00:00,SPY,226.44,226.47,226.15,226.42,18566
2017-01-05 06:00:00,SPY,226.36,226.42,226.27,226.42,34476
2017-01-05 07:00:00,SPY,226.02,226.37,225.98,226.36,126648
2017-01-05 08:00:00,SPY,226.25,226.58,226.01,226.58,390223
2017-01-05 09:00:00,SPY,226.36,226.58,226.11,226.26,5601422
2017-01-05 10:00:00,SPY,226.34,226.58,226.18,226.37,10533659
2017-01-05 11:00:00,SPY,225.682,226.5261,225.48,226.34,12965826
2017-01-05 12:00:00,SPY,225.93,226.5261,224.94,225.69,6836927
2017-01-05 13:00:00,SPY,226.02,226.5261,224.94,225.93,7774843
2017-01-05 14:00:00,SPY,226.02,226.5261,226.01,226.02,4671756
2017-01-05 15:00:00,SPY,226.36,226.5261,225.98,226.01,10282467
2017-01-05 16:00:00,SPY,226.51,226.52,226.2414,226.36,34997993
2017-01-05 17:00:00,SPY,226.45,226.5261,226.4,226.5261,551930
2017-01-05 18:00:00,SPY,226.43,226.52,226.4,226.45,8080827
2017-01-05 19:00:00,SPY,226.43,226.44,226.34,226.41,24846
2017-01-05 20:00:00,SPY,226.4,226.4,226.4,226.4,8023514
2017-01-06 04:00:00,SPY,226.27,226.35,226.27,226.35,5980
2017-01-06 05:00:00,SPY,226.4,226.43,226.27,226.27,14761
2017-01-06 06:00:00,SPY,226.43,226.43,226.38,226.4,2003
2017-01-06 07:00:00,SPY,226.28,226.48,226.23,226.44,114120
2017-01-06 08:00:00,SPY,226.7,226.72,226.23,226.4,825918
2017-01-06 09:00:00,SPY,226.42,226.72,225.9,226.71,6028566
2017-01-06 10:00:00,SPY,226.59,226.725,226.17,226.413,7618441
2017-01-06 11:00:00,SPY,227.2962,227.43,226.4172,226.5801,8420353
2017-01-06 12:00:00,SPY,227.63,227.74,218.39,227.3,7804189
2017-01-06 13:00:00,SPY,227.52,227.68,226.4172,227.64,5806332
2017-01-06 14:00:00,SPY,227.41,227.7674,226.4172,227.52,10013027
2017-01-06 15:00:00,SPY,227.24,227.58,226.135,227.41,16094541
2017-01-06 16:00:00,SPY,227.14,227.59,226.135,227.23,11578318
2017-01-06 17:00:00,SPY,227.12,227.21,227.11,227.14,68043
2017-01-06 18:00:00,SPY,226.83,227.21,226.8,227.11,1554094
2017-01-06 19:00:00,SPY,226.79,226.9,226.7,226.83,81623
2017-01-06 20:00:00,SPY,227.21,227.21,227.21,227.21,1446606
2017-01-09 04:00:00,SPY,227.18,227.23,227.09,227.21,10328
2017-01-09 05:00:00,SPY,227.08,227.21,227.04,227.18,6158
2017-01-09 06:00:00,SPY,226.96,227.08,226.83,227.08,29280
2017-01-09 07:00:00,SPY,227.06,227.06,226.9,226.95,47674
2017-01-09 08:00:00,SPY,226.92,227.21,226.84,227.21,279862
2017-01-09 09:00:00,SPY,226.6874,227.21,226.415,226.91,6081726
2017-01-09 10:00:00,SPY,226.979,227.2162,226.47,226.685,8280455
2017-01-09 11:00:00,SPY,226.84,227.0701,226.73,226.97,3824158
2017-01-09 12:00:00,SPY,226.96,227.02,226.71,226.85,2952713
2017-01-09 13:00:00,SPY,226.77,227.2162,226.65,226.955,4595107
2017-01-09 14:00:00,SPY,226.57,227.2162,226.43,226.775,6453049
2017-01-09 15:00:00,SPY,226.49,226.81,226.44,226.57,8477552
2017-01-09 16:00:00,SPY,226.5,227.2162,226.4102,226.49,7518558
2017-01-09 17:00:00,SPY,226.56,226.57,226.46,226.5,76123
2017-01-09 18:00:00,SPY,226.32,226.58,226.27,226.53,997838
2017-01-09 19:00:00,SPY,226.27,226.35,226.27,226.32,30389
2017-01-09 20:00:00,SPY,226.46,226.46,226.46,226.46,828196
2017-01-10 04:00:00,SPY,226.52,226.52,226.37,226.46,944
2017-01-10 05:00:00,SPY,226.66,226.7,226.5,226.5,5607
2017-01-10 06:00:00,SPY,226.61,226.69,226.59,226.62,1314
2017-01-10 07:00:00,SPY,226.48,226.64,226.48,226.56,68716
2017-01-10 08:00:00,SPY,226.49,226.61,226.42,226.46,199550
2017-01-10 09:00:00,SPY,226.27,226.57,226.01,226.49,6242182
2017-01-10 10:00:00,SPY,226.685,226.79,226.25,226.27,9434543
2017-01-10 11:00:00,SPY,227.16,227.29,226.67,226.689,6990286
2017-01-10 12:00:00,SPY,227.1751,227.45,226.4156,227.16,8059348
2017-01-10 13:00:00,SPY,226.62,227.3118,226.56,227.18,5144029
2017-01-10 14:00:00,SPY,226.595,226.8,226.38,226.61,7902697
2017-01-10 15:00:00,SPY,226.43,226.96,226.37,226.595,12198954
2017-01-10 16:00:00,SPY,226.44,226.761722,226.37,226.43,10156848
2017-01-10 17:00:00,SPY,226.4,226.48,226.34,226.42,250127
2017-01-10 18:00:00,SPY,226.39,226.48,226.33,226.4,1209232
2017-01-10 19:00:00,SPY,226.43,226.52,226.38,226.4,64429
2017-01-10 20:00:00,SPY,226.46,226.46,226.46,226.46,831948
2017-01-11 04:00:00,SPY,226.52,226.52,226.06,226.15,35145
2017-01-11 05:00:00,SPY,226.48,226.51,226.42,226.47,5521
2017-01-11 06:00:00,SPY,226.53,226.53,226.35,226.44,16916
2017-01-11 07:00:00,SPY,226.15,226.51,226.15,226.5,77730
2017-01-11 08:00:00,SPY,226.26,226.5,226.12,226.46,158758
2017-01-11 09:00:00,SPY,226.8,226.81,225.485,226.25,5970251
2017-01-11 10:00:00,SPY,226.68,227.0078,226.39,226.8,8599851
2017-01-11 11:00:00,SPY,226.68,227.02,225.59,226.68,14326205
2017-01-11 12:00:00,SPY,226.2659,226.83,220.785,226.68,9723861
2017-01-11 13:00:00,SPY,226.33,226.45,225.64,226.26,10819292
2017-01-11 14:00:00,SPY,226.63,226.73,224.4,226.33,5689781
2017-01-11 15:00:00,SPY,227.06,227.07,226.5775,226.625,10736027
2017-01-11 16:00:00,SPY,227.15,227.22,226.38,227.06,10308358
2017-01-11 17:00:00,SPY,227.11,227.18,227.07,227.14,257574
2017-01-11 18:00:00,SPY,227.04,227.1,227.02,227.09,934356
2017-01-11 19:00:00,SPY,226.94,227.07,226.88,227.07,42972
2017-01-11 20:00:00,SPY,227.1,227.1,227.1,227.1,876929
2017-01-12 04:00:00,SPY,226.45,226.47,226.12,226.3,12053
2017-01-12 05:00:00,SPY,226.44,226.54,226.39,226.42,6529
2017-01-12 06:00:00,SPY,226.48,226.58,226.41,226.44,97094
2017-01-12 07:00:00,SPY,226.61,226.63,226.41,226.48,119191
2017-01-12 08:00:00,SPY,226.59,227.1,226.45,226.58,322178
2017-01-12 09:00:00,SPY,226.02,227.1,225.87,226.6,9267125
2017-01-12 10:00:00,SPY,225.25,227.0807,225.17,226.01,13994088
2017-01-12 11:00:00,SPY,225.33,227.0807,224.955,225.24,9668213
2017-01-12 12:00:00,SPY,225.965,226.08,225.13,225.31,7860672
2017-01-12 13:00:00,SPY,226.26,227.0807,225.88,225.96,6954102
2017-01-12 14:00:00,SPY,226.5879,227.0807,226.17,226.26,6377021
2017-01-12 15:00:00,SPY,226.57,227.0807,226.29,226.58,12402376
2017-01-12 16:00:00,SPY,226.52,227.0808,225.943,226.57,7100248
2017-01-12 17:00:00,SPY,226.51,226.54,226.48,226.49,139834
2017-01-12 18:00:00,SPY,226.6,226.63,226.5,226.5,1092497
2017-01-12 19:00:00,SPY,226.56,226.58,226.49,226.58,33737
2017-01-12 20:00:00,SPY,226.53,226.53,226.53,226.53,1052573
2017-01-13 04:00:00,SPY,226.54,226.54,226.53,226.53,204
2017-01-13 05:00:00,SPY,226.82,226.82,226.65,226.69,2027
2017-01-13 06:00:00,SPY,226.64,226.8,226.63,226.8,21503
2017-01-13 07:00:00,SPY,226.75,226.75,226.59,226.67,176263
2017-01-13 08:00:00,SPY,226.68,226.8,226.4,226.53,426761
2017-01-13 09:00:00,SPY,227.2,227.4,226.65,226.7,7448197
2017-01-13 10:00:00,SPY,227.2062,227.31,226.75,227.19,6785086
2017-01-13 11:00:00,SPY,227.25,227.33,226.5919,227.2,8436032
2017-01-13 12:00:00,SPY,227.085,227.29,226.53,227.26,4634975
2017-01-13 13:00:00,SPY,226.999,227.15,226.53,227.09,2963901
2017-01-13 14:00:00,SPY,227.0,227.06,226.69,227.0,5495216
2017-01-13 15:00:00,SPY,227.03,227.2,226.75,226.99,11942042
2017-01-13 16:00:00,SPY,227.12,227.32,226.5919,227.03,16251346
2017-01-13 17:00:00,SPY,227.15,227.3,227.05,227.13,151165
2017-01-13 18:00:00,SPY,227.16,227.22,227.05,227.14,959220
2017-01-13 19:00:00,SPY,227.22,227.22,227.16,227.16,7206
2017-01-13 20:00:00,SPY,227.05,227.05,227.05,227.05,938541
2017-01-17 04:00:00,SPY,226.36,226.64,226.3,226.64,7237
2017-01-17 05:00:00,SPY,226.07,226.37,226.0,226.36,18482
2017-01-17 06:00:00,SPY,226.16,226.25,225.82,226.08,52977
2017-01-17 07:00:00,SPY,226.65,226.69,226.17,226.18,146795
2017-01-17 08:00:00,SPY,226.52,227.05,226.19,226.66,440752
2017-01-17 09:00:00,SPY,226.17,227.05,226.07,226.51,7603615
2017-01-17 10:00:00,SPY,226.715,226.78,226.06,226.17,6855292
2017-01-17 11:00:00,SPY,226.6,226.73,226.29,226.72,4826266
2017-01-17 12:00:00,SPY,226.505,227.0102,226.39,226.605,4458897
2017-01-17 13:00:00,SPY,226.61,227.0102,226.48,226.51,3909318
2017-01-17 14:00:00,SPY,226.015,227.0102,225.85,226.6,9088893
2017-01-17 15:00:00,SPY,226.29,227.0102,225.8,226.0199,14884420
2017-01-17 16:00:00,SPY,226.27,227.0102,226.1435,226.29,12620110
2017-01-17 17:00:00,SPY,226.27,227.0102,226.21,226.28,1668080
2017-01-17 18:00:00,SPY,226.33,226.33,226.18,226.27,2053701
2017-01-17 19:00:00,SPY,226.26,226.35,226.24,226.32,43432
2017-01-17 20:00:00,SPY,226.25,226.25,226.25,226.25,1970558
2017-01-18 04:00:00,SPY,226.55,226.62,226.43,226.43,34660
2017-01-18 05:00:00,SPY,226.64,226.64,226.5,226.57,9551
2017-01-18 06:00:00,SPY,226.38,226.61,226.37,226.61,34005
2017-01-18 07:00:00,SPY,226.63,226.63,226.33,226.36,102129
2017-01-18 08:00:00,SPY,226.71,226.86,226.25,226.25,435444
2017-01-18 09:00:00,SPY,226.4201,226.71,225.9,226.7,8457601
2017-01-18 10:00:00,SPY,226.46,226.65,226.25,226.43,7553165
2017-01-18 11:00:00,SPY,226.25,226.62,226.18,226.47,5388162
2017-01-18 12:00:00,SPY,226.23,226.53,226.2,226.25,4208996
2017-01-18 13:00:00,SPY,226.315,226.46,226.21,226.23,3896429
2017-01-18 14:00:00,SPY,226.5,226.55,225.4444,226.32,3922799
2017-01-18 15:00:00,SPY,226.74,226.8,226.3721,226.4942,13886719
2017-01-18 16:00:00,SPY,226.61,226.82,226.3721,226.73,9301854
2017-01-18 17:00:00,SPY,226.62,226.75,226.58,226.63,195936
2017-01-18 18:00:00,SPY,226.75,226.79,226.63,226.63,1073401
2017-01-18 19:00:00,SPY,226.8,226.87,226.76,226.76,52980
2017-01-18 20:00:00,SPY,226.75,226.75,226.75,226.75,998641
2017-01-19 04:00:00,SPY,226.41,226.65,226.37,226.65,1653
2017-01-19 05:00:00,SPY,226.32,226.39,226.25,226.39,5554
2017-01-19 06:00:00,SPY,226.53,226.57,226.35,226.35,29264
2017-01-19 07:00:00,SPY,226.52,226.59,226.45,226.56,63001
2017-01-19 08:00:00,SPY,226.65,226.75,226.44,226.75,365959
2017-01-19 09:00:00,SPY,226.79,227.0,226.5142,226.64,5329026
2017-01-19 10:00:00,SPY,226.43,226.8363,226.3,226.77,6721945
2017-01-19 11:00:00,SPY,226.41,226.7755,226.06,226.42,7916126
2017-01-19 12:00:00,SPY,226.34,226.52,226.21,226.42,4242762
2017-01-19 13:00:00,SPY,226.12,226.7755,226.0427,226.35,6947996
2017-01-19 14:00:00,SPY,225.7461,226.7755,225.41,226.11,12630151
2017-01-19 15:00:00,SPY,225.95,226.7755,225.63,225.75,17840960
2017-01-19 16:00:00,SPY,226.2,226.29,225.91,225.96,8765461
2017-01-19 17:00:00,SPY,226.15,226.19,225.7599,226.18,157673
2017-01-19 18:00:00,SPY,226.31,226.34,225.91,226.14,1148962
2017-01-19 19:00:00,SPY,226.45,226.54,226.3,226.3,187146
2017-01-19 20:00:00,SPY,225.91,225.91,225.91,225.91,994120
2017-01-20 04:00:00,SPY,226.59,226.62,226.44,226.5,18310
2017-01-20 05:00:00,SPY,226.59,226.69,226.54,226.55,18238
2017-01-20 06:00:00,SPY,226.47,226.82,226.47,226.57,203977
2017-01-20 07:00:00,SPY,226.62,226.66,226.46,226.47,133323
2017-01-20 08:00:00,SPY,226.68,226.8,225.91,226.62,486810
2017-01-20 09:00:00,SPY,227.105,227.31,225.91,226.7,13213337
2017-01-20 10:00:00,SPY,226.985,227.17,225.9619,227.105,18341965
2017-01-20 11:00:00,SPY,226.97,227.11,225.9619,226.99,17615936
2017-01-20 12:00:00,SPY,226.34,227.15,225.9619,226.97,19287655
2017-01-20 13:00:00,SPY,226.4164,226.6698,225.9619,226.34,6830805
2017-01-20 14:00:00,SPY,226.335,226.68,225.9619,226.41,7978033
2017-01-20 15:00:00,SPY,226.7,226.74,225.9619,226.34,21956061
2017-01-20 16:00:00,SPY,226.71,227.3138,225.9619,226.69,25020545
2017-01-20 17:00:00,SPY,226.87,227.5,226.64,226.68,6550869
2017-01-20 18:00:00,SPY,226.87,226.98,226.74,226.87,3444673
2017-01-20 19:00:00,SPY,226.81,226.9,226.74,226.87,63321
2017-01-20 20:00:00,SPY,226.74,226.74,226.74,226.74,3407863
2017-01-23 04:00:00,SPY,226.29,226.42,226.05,226.28,19725
2017-01-23 05:00:00,SPY,226.24,226.34,226.24,226.27,6171
2017-01-23 06:00:00,SPY,226.23,226.41,226.23,226.24,63227
2017-01-23 07:00:00,SPY,226.2,226.36,226.13,226.25,104438
2017-01-23 08:00:00,SPY,226.33,226.74,226.15,226.2,393057
2017-01-23 09:00:00,SPY,226.38,226.81,226.21,226.34,7110488
2017-01-23 10:00:00,SPY,225.75,226.49,225.6,226.37,10453577
2017-01-23 11:00:00,SPY,225.53,225.93,224.73,225.75,9075343
2017-01-23 12:00:00,SPY,225.7399,226.7311,225.32,225.53,6989358
2017-01-23 13:00:00,SPY,225.88,226.7311,225.7,225.73,9912257
2017-01-23 14:00:00,SPY,226.02,226.7311,225.695,225.879,8239754
2017-01-23 15:00:00,SPY,226.18,226.7311,225.85,226.025,13611398
2017-01-23 16:00:00,SPY,226.19,226.7311,216.15,226.19,11439963
2017-01-23 17:00:00,SPY,226.15,226.22,226.15,226.19,798447
2017-01-23 18:00:00,SPY,226.21,226.25,226.13,226.15,1065569
2017-01-23 19:00:00,SPY,226.24,226.28,226.18,226.23,60785
2017-01-23 20:00:00,SPY,226.15,226.15,226.15,226.15,999062
2017-01-24 04:00:00,SPY,226.29,226.36,226.1,226.14,23012
2017-01-24 05:00:00,SPY,226.44,226.49,226.36,226.36,5600
2017-01-24 06:00:00,SPY,226.22,226.34,226.11,226.34,7731
2017-01-24 07:00:00,SPY,226.25,226.26,226.2,226.26,16353
2017-01-24 08:00:00,SPY,226.45,226.46,226.15,226.15,180343
2017-01-24 09:00:00,SPY,226.445,226.58,226.15,226.44,5412722
2017-01-24 10:00:00,SPY,226.579,226.65,226.27,226.44,5429960
2017-01-24 11:00:00,SPY,226.89,226.95,226.1202,226.575,7915601
2017-01-24 12:00:00,SPY,227.221,227.28,226.1202,226.895,11301032
2017-01-24 13:00:00,SPY,227.685,227.85,226.1202,227.2201,12111128
2017-01-24 14:00:00,SPY,227.845,227.89,226.1202,227.685,15721413
2017-01-24 15:00:00,SPY,227.58,228.08,226.1202,227.845,22683711
2017-01-24 16:00:00,SPY,227.62,227.782,226.72,227.58,21098952
2017-01-24 17:00:00,SPY,227.6,227.65,227.56,227.62,116092
2017-01-24 18:00:00,SPY,227.7,227.74,227.6,227.62,2527804
2017-01-24 19:00:00,SPY,227.66,227.75,227.66,227.7,65224
2017-01-24 20:00:00,SPY,227.6,227.6,227.6,227.6,2370361
2017-01-25 04:00:00,SPY,228.03,228.29,228.03,228.14,39033
2017-01-25 05:00:00,SPY,228.14,228.19,228.0,228.02,24083
2017-01-25 06:00:00,SPY,228.07,228.17,228.07,228.17,98196
2017-01-25 07:00:00,SPY,228.37,228.42,228.06,228.07,345778
2017-01-25 08:00:00,SPY,228.44,228.54,227.6,228.37,640649
2017-01-25 09:00:00,SPY,228.91,228.91,226.615,228.44,8529315
