DATETIME_simple,SYM_ROOT,CLOSE,HIGH,LOW,OPEN,VOL
2017-01-03 04:00:00,VIXY,20.31,20.4,20.31,20.4,1000
2017-01-03 05:00:00,VIXY,20.39,20.39,20.39,20.39,50
2017-01-03 06:00:00,VIXY,20.25,20.27,20.09,20.27,6770
2017-01-03 07:00:00,VIXY,20.32,20.32,20.23,20.23,800
2017-01-03 08:00:00,VIXY,20.46,20.55,20.33,20.33,23316
2017-01-03 09:00:00,VIXY,20.25,20.54,20.25,20.45,456693
2017-01-03 10:00:00,VIXY,20.04,20.25,19.9,20.25,709443
2017-01-03 11:00:00,VIXY,20.1,20.26,19.97,20.04,446054
2017-01-03 12:00:00,VIXY,20.09,20.22,20.02,20.07,229923
2017-01-03 13:00:00,VIXY,20.05,20.15,20.01,20.09,113788
2017-01-03 14:00:00,VIXY,19.95,20.095,19.95,20.04,117580
2017-01-03 15:00:00,VIXY,19.746,19.95,19.7161,19.94,376390
2017-01-03 16:00:00,VIXY,19.61,19.93,19.57,19.74,44748
2017-01-03 17:00:00,VIXY,19.61,19.61,19.61,19.61,125
2017-01-03 18:00:00,VIXY,19.74,19.74,19.65,19.66,8978
2017-01-03 20:00:00,VIXY,19.74,19.74,19.74,19.74,2578
2017-01-04 08:00:00,VIXY,19.53,19.56,19.5,19.52,5300
2017-01-04 09:00:00,VIXY,19.23,19.53,19.18,19.52,234512
2017-01-04 10:00:00,VIXY,19.14,19.22,19.095,19.22,279490
2017-01-04 11:00:00,VIXY,19.06,19.2,19.04,19.13,159302
2017-01-04 12:00:00,VIXY,19.1,19.13,19.0,19.05,111983
2017-01-04 13:00:00,VIXY,18.955,19.11,18.92,19.095,166772
2017-01-04 14:00:00,VIXY,18.8,18.995,18.75,18.95,399744
2017-01-04 15:00:00,VIXY,18.735,18.84,18.53,18.79,465683
2017-01-04 16:00:00,VIXY,19.18,19.18,18.71,18.74,26850
2017-01-04 17:00:00,VIXY,18.77,18.77,18.77,18.77,10000
2017-01-04 18:00:00,VIXY,18.74,18.75,18.71,18.71,3554
2017-01-04 19:00:00,VIXY,18.9,18.9,18.9,18.9,100
2017-01-04 20:00:00,VIXY,18.74,18.74,18.74,18.74,2376
2017-01-05 04:00:00,VIXY,18.83,18.83,18.83,18.83,119
2017-01-05 05:00:00,VIXY,18.79,18.8,18.79,18.8,1420
2017-01-05 06:00:00,VIXY,18.83,18.83,18.79,18.79,700
2017-01-05 07:00:00,VIXY,18.92,18.92,18.8,18.8,2500
2017-01-05 08:00:00,VIXY,18.87,18.96,18.87,18.9,14221
2017-01-05 09:00:00,VIXY,18.84,18.9814,18.79,18.89,317998
2017-01-05 10:00:00,VIXY,18.79,18.88,18.76,18.84,301713
2017-01-05 11:00:00,VIXY,19.141,19.22,18.77,18.8,616189
2017-01-05 12:00:00,VIXY,18.93,19.23,18.89,19.15,375083
2017-01-05 13:00:00,VIXY,18.76,18.94,18.73,18.93,279610
2017-01-05 14:00:00,VIXY,18.86,18.895,18.67,18.76,310455
2017-01-05 15:00:00,VIXY,18.67,18.88,18.64,18.87,338789
2017-01-05 16:00:00,VIXY,18.57,18.85,18.57,18.66,41784
2017-01-05 17:00:00,VIXY,18.54,18.57,18.54,18.55,4385
2017-01-05 18:00:00,VIXY,18.46,18.66,18.46,18.66,5372
2017-01-05 19:00:00,VIXY,18.68,18.68,18.68,18.68,500
2017-01-05 20:00:00,VIXY,18.66,18.66,18.66,18.66,3000
2017-01-06 06:00:00,VIXY,18.55,18.56,18.55,18.56,800
2017-01-06 07:00:00,VIXY,18.57,18.57,18.55,18.56,15400
2017-01-06 08:00:00,VIXY,18.44,18.64,18.44,18.59,38586
2017-01-06 09:00:00,VIXY,18.4099,18.6311,18.39,18.45,317632
2017-01-06 10:00:00,VIXY,18.24,18.45,18.22,18.41,463897
2017-01-06 11:00:00,VIXY,18.245,18.28,18.04,18.24,572686
2017-01-06 12:00:00,VIXY,18.19,18.27,18.0979,18.25,366762
2017-01-06 13:00:00,VIXY,18.25,18.34,18.19,18.1937,271806
2017-01-06 14:00:00,VIXY,18.345,18.37,18.2,18.25,431580
2017-01-06 15:00:00,VIXY,18.43,18.44,18.26,18.35,490732
2017-01-06 16:00:00,VIXY,18.37,18.46,18.35,18.43,55520
2017-01-06 17:00:00,VIXY,18.4,18.4,18.4,18.4,50
2017-01-06 18:00:00,VIXY,18.43,18.43,18.43,18.43,4048
2017-01-06 19:00:00,VIXY,18.42,18.42,18.42,18.42,30
2017-01-06 20:00:00,VIXY,18.43,18.43,18.43,18.43,1648
2017-01-09 06:00:00,VIXY,18.59,18.59,18.59,18.59,222
2017-01-09 07:00:00,VIXY,18.46,18.59,18.46,18.59,600
2017-01-09 08:00:00,VIXY,18.48,18.53,18.43,18.45,14250
2017-01-09 09:00:00,VIXY,18.59,18.677,18.45,18.49,358850
2017-01-09 10:00:00,VIXY,18.22,18.6401,18.2,18.59,412520
2017-01-09 11:00:00,VIXY,18.23,18.34,18.1201,18.22,252577
2017-01-09 12:00:00,VIXY,18.15,18.26,18.13,18.22,171512
2017-01-09 13:00:00,VIXY,18.16,18.19,18.1,18.14,149751
2017-01-09 14:00:00,VIXY,18.29,18.32,18.1299,18.16,208570
2017-01-09 15:00:00,VIXY,18.38,18.4,18.23,18.3,440349
2017-01-09 16:00:00,VIXY,18.28,18.56,18.23,18.37,69215
2017-01-09 17:00:00,VIXY,18.34,18.34,18.34,18.34,3000
